well_id,fold,median_tvt,azimuth_sign,x_bin
1944513c,4,11315.55,1,1
197f8a5a,3,10968.735,1,0
19871e7f,3,12547.78,1,1
198a5607,2,11160.76,1,0
19fb4f7b,3,12760.43,1,1
1a518997,0,11211.01,-1,0
1a68190b,4,12800.545,-1,0
1a730ac2,0,11400.42,-1,1
1aaf1da0,3,11903.42,1,1
1b08ed48,4,12110.28,1,1
1b1c5372,4,10863.72,-1,1
1b1eba53,0,12769.885,-1,1
1b6ba517,4,12054.96,1,0
1b82b665,1,10842.025000000001,-1,1
1bcb2fcf,2,12550.56,1,1
1beca81d,3,11362.6,-1,0
1d3fbf02,4,11756.2,-1,0
1d78281a,1,12782.98,-1,0
1e30dedf,0,10646.44,1,1
1e5e3573,0,12218.775000000001,-1,1
1f9afacb,2,11952.195,1,1
1fdbba44,0,12805.31,1,0
1fee2b62,1,12509.86,1,1
20096916,3,11898.875,1,1
200d233d,0,12049.96,-1,1
201661b5,1,12192.14,1,1
203721ab,1,11192.240000000002,-1,0
20402d71,4,10956.27,1,0
2043abc5,4,11434.04,1,0
204cc64b,1,12557.675,1,1
206b6193,2,11427.73,1,0
2075c696,2,11195.145,-1,0
22c5f93f,0,11871.570000000002,1,1
230eaaa3,3,11431.2,-1,0
2364716c,2,10984.92,-1,0
23b9beb0,2,11392.14,-1,0
24d8997e,3,11183.455,1,0
25050f63,2,10963.64,1,0
25939962,3,12257.17,1,1
25fd32b3,1,11188.14,-1,0
261785ee,4,11293.75,1,1
264feceb,2,11189.775000000001,1,0
26623a50,0,11364.85,1,1
26d3a96a,4,12635.95,1,1
272abef3,1,11442.224999999999,-1,1
27300fd5,3,12573.13,1,1
276b012a,2,12426.11,-1,1
27c3155b,1,12737.16,-1,1
27ebb9b9,3,11937.3,1,0
283269ac,1,11450.990000000002,1,0
28473855,0,10980.62,1,0
28f4eda9,0,10936.325,1,0
29b24409,0,11214.05,1,0
29de15c8,3,11987.59,1,1
2ab29395,0,12211.19,-1,1
2ac7cb6b,4,10873.88,1,1
2acc78d4,1,11863.65,-1,1
2b034622,2,10065.72,1,0
2b06ad65,4,11954.21,1,1
2b547943,3,12210.05,-1,1
2be5c96a,2,11796.33,-1,1
2bff06cf,4,11028.53,1,0
2c0c4a4e,4,10966.46,-1,0
2cee0cba,0,11221.92,-1,0
2d0c268a,0,11312.46,1,1
2d179ded,1,10693.87,1,0
2d196986,1,11194.805,1,0
2d2d0c6b,0,11193.09,-1,0
2d35f86d,0,11880.04,1,1
2d9f6cb9,0,12530.59,1,1
2ddad940,4,11698.31,-1,0
2e29e833,2,12148.65,1,1
2e43c2ea,0,11187.55,1,0
2e63d9de,0,12527.86,-1,1
2ee0235b,1,11183.28,1,0
2f19d536,3,12271.46,1,1
2f8e53c3,0,11951.13,-1,1
2fa01aa6,2,12697.56,-1,1
2fd68f7b,0,10871.23,-1,1
2fe023be,3,11452.85,1,1
30d75030,1,10875.61,1,1
310c71a5,3,11186.81,1,0
32fe84c9,2,12107.46,-1,0
33c40295,0,11412.64,1,1
3407f5bf,0,11000.72,-1,0
3417285d,3,12197.36,1,0
347242c8,1,12034.27,-1,1
353e5502,1,11187.03,1,0
357c12f9,0,10785.240000000002,1,0
3584a6eb,1,12213.55,1,1
35b30c7f,2,10984.84,-1,0
35b3ef6a,1,10760.56,1,0
367456ce,2,10877.315,-1,1
368131f9,1,11888.47,1,1
368fe682,0,11289.175,1,0
3690a146,2,11200.26,-1,0
37344c2a,2,11015.55,-1,0
373ef48b,0,11184.04,-1,0
374be387,0,10709.78,1,0
37d36812,3,12226.1,1,1
38991fd4,2,11208.23,1,0
389ae58f,0,11753.11,-1,0
3932faa6,3,12027.67,1,0
398dce4b,4,10819.37,1,0
39b51819,4,10985.03,1,0
3a0af893,0,12194.404999999999,1,1
3a223519,2,12813.91,-1,0
3a7dd95d,1,11886.7,-1,0
3a824aa7,0,12208.445,1,1
3a86fe8d,3,11441.62,-1,1
3aaa2b30,1,10899.98,-1,1
3ac16ad0,4,10961.240000000002,-1,0
3b21ea64,4,12429.48,1,1
3bbe1f5d,0,11204.88,-1,0
3bfee975,3,12163.36,-1,1
3c3dbcbc,3,11856.75,1,1
3d96d897,2,11199.87,-1,0
3df4b19e,2,11373.96,1,1
3e011332,3,11426.705,1,0
3e678ea7,4,12533.18,-1,1
3ef6372a,4,11414.05,-1,0
3ef98781,0,11952.33,1,1
3f603129,4,10993.01,-1,1
404c4384,0,10805.224999999999,1,0
4121c517,4,10949.820000000002,1,1
41fb0192,4,12595.73,-1,1
42669188,4,11601.03,1,0
42c538a1,3,11297.375,-1,0
43b06c70,3,11906.4,1,1
43c7f85a,2,10968.820000000002,-1,0
43e16325,4,10963.22,1,0
44441e54,3,11970.52,-1,1
445af6c2,4,11188.59,-1,0
4463446c,2,10516.56,-1,0
44a94013,0,10912.955,1,0
45fb3e21,1,11444.8,1,1
460f859e,3,11205.595000000001,-1,0
4630ab92,4,12019.27,1,1
463c38f2,1,11184.28,1,0
4654e7de,3,11220.570000000002,-1,0
466fc788,3,12002.3,1,1
46a301e9,3,10962.16,-1,0
46a7190b,1,12496.8,-1,1
46d24a09,1,12753.02,1,0
46d41ff6,0,12064.4,-1,1
46dfcfca,4,12504.25,-1,1
47222616,4,12207.45,1,1
47ee27ab,2,11366.02,1,0
481de5fc,3,12057.4,1,0
48c1f673,3,10860.11,1,1
4936af16,2,10866.09,-1,1
493b5b31,3,12700.955,-1,1
49dbc14c,4,11193.46,-1,0
4a035ec2,2,12587.915,-1,1
4a335117,1,11210.81,-1,0
4a8ecc0b,0,11870.78,1,1
4b462989,2,10968.5,1,0
4b831d20,1,12535.9,1,1
4c2208f5,4,12704.76,1,1
4c3168cf,2,12000.17,1,1
4c3df468,2,10957.23,-1,0
4caa7289,2,11195.16,1,0
4cd1ac61,1,11874.490000000002,1,1
4cecf7b3,2,12048.375,1,1
4ddde4c1,2,10954.35,1,1
4e050c92,4,12044.79,-1,1
4ed93db6,3,11363.79,1,1
4f3eb9e9,1,11356.42,1,1
4f4ac5ce,1,11196.53,1,0
4f4afcc6,0,11175.54,-1,0
4f69febf,2,10953.23,1,0
4fbe9c06,4,11194.21,-1,0
504c8b08,2,11193.51,1,0
511e1db0,4,11184.44,-1,0
512943b2,1,11358.75,-1,1
5138a660,3,12060.43,-1,1
516088b7,3,11463.31,1,0
521a7819,2,11199.91,1,0
5254b6db,3,12046.95,1,0
529e88ca,4,11002.77,1,1
52f1e77a,4,12031.66,-1,1
5305524b,0,10927.76,1,0
53134831,2,12187.240000000002,-1,1
5397ceb1,3,11402.71,-1,1
53f23031,2,11393.68,-1,0
543198e8,1,10979.17,1,0
54753541,1,10771.63,-1,0
54a7e3c2,2,11164.9,1,0
5542c301,3,10979.22,1,0
5567d551,1,11411.45,1,1
55efee7f,0,11208.68,1,0
5663b2b7,0,12051.01,1,0
5693dde2,3,12244.56,-1,1
56b00794,0,11013.76,-1,0
57796579,3,11199.84,1,0
577eec7c,1,10071.71,-1,0
57f05c51,2,12686.36,-1,1
58850d2c,3,12511.68,1,1
58fa8486,1,12044.2,1,0
591cc951,3,11197.72,1,0
593876b6,1,11382.64,-1,1
59f8b2e8,3,11506.974999999999,-1,0
5a1a8fd8,4,12010.03,-1,1
5a5269a9,4,11404.81,-1,1
5a5d1982,0,11195.86,-1,0
5a63b5d1,2,11495.19,1,0
5aa03df7,4,11329.78,-1,0
5aa403d0,4,10978.685,1,0
5aef5c6c,2,11314.33,-1,0
5b7b6324,4,12525.36,1,1
5bd25f59,1,10800.92,1,1
5beded95,4,11397.19,-1,0
5cb483ac,3,11996.69,-1,1
5cdd8dbc,3,11193.88,1,0
5d11dfb5,3,12220.2,1,0
5d7198fd,1,12239.12,1,1
5def1ce5,0,11181.14,-1,0
5eae34a8,0,10895.39,-1,0
5f4d2a52,3,10888.045,1,1
5f6756c5,0,12209.27,1,1
5f75f796,2,12773.2,1,1
5fb1c15f,1,11022.9,1,0
5fffa282,2,11430.47,-1,1
60e37807,3,11421.740000000002,1,0
61f27424,2,12146.08,1,0
62569ae3,4,11943.215,-1,1
62a6f539,1,11192.8,1,0
633774dc,3,11166.825,1,0
63559d57,2,12139.1,-1,1
647f2a41,0,11893.67,-1,1
65156b96,3,11030.13,-1,0
653612bc,1,11960.29,-1,1
656a067b,3,11016.105,1,1
65a5466a,1,10846.75,-1,1
660d9546,1,12006.990000000002,-1,1
6767c111,2,11050.29,1,1
67847288,2,12530.205,1,1
67a8da4a,4,12671.66,1,1
684a6fc1,1,10951.79,-1,0
698930d1,2,11033.41,1,1
699ea575,1,11991.91,1,1
69c1bdad,4,11412.3,1,0
69e41fa6,1,12047.25,-1,1
6a0ff78e,3,11201.7,-1,0
6a8fa194,0,11994.44,1,0
6ae68655,2,12125.98,1,1
6d1d74e1,1,10961.05,-1,0
6d590e26,0,11370.58,1,1
6d6d93af,4,11498.2,-1,0
6dbe4b60,1,11400.11,-1,1
6e6d122c,1,12263.86,-1,1
6e9ccd38,4,10696.45,1,0
6ea22614,4,10864.575,-1,1
6ede926a,1,11201.51,1,0
708caea9,0,11048.735,1,1
70925e23,0,12694.425,1,1
70e1788b,3,10667.154999999999,1,0
71642c7d,4,12828.12,-1,0
71ccf778,4,11977.35,1,0
7224331b,1,12174.02,1,0
722cf0d8,3,10931.64,1,0
7256229b,0,10895.37,-1,1
726f3dc2,4,11437.3,1,0
7271dd80,0,10974.9,-1,0
727a3a10,1,12726.320000000002,1,1
729665c0,2,11861.65,-1,1
729e9750,3,10963.33,-1,0
729f4217,2,11206.34,-1,0
72dd8501,4,12021.14,1,1
73348914,4,12749.884999999998,-1,0
739a914f,4,11373.36,-1,1
73b1447d,1,12288.265,-1,1
74b6186b,0,10808.215,1,0
75c20ec7,2,12211.66,1,1
75cd5f11,2,11213.345000000001,-1,0
75d20a82,1,12051.415,1,0
76201745,3,10616.56,-1,1
764072a5,0,11178.88,1,0
77b0d905,4,12217.2,1,1
77e4821c,1,11198.615000000002,-1,0
7850c72e,3,12869.3,-1,1
78a4a386,0,11367.46,1,0
79507629,4,12545.03,1,1
796dbd4c,4,10895.28,-1,1
7987f2f2,4,12217.605,-1,1
7993a768,4,12163.19,1,0
7a5660b0,1,12722.320000000002,1,1
7acda2df,3,11190.28,-1,0
7b2c7b3c,3,11414.06,1,0
7b38844c,2,12034.59,-1,1
7bb17b96,0,12019.92,-1,1
7c607683,0,11196.12,1,0
7cbbd047,4,12020.555,-1,1
7cd4bb31,3,11194.42,-1,0
7d50373e,2,11203.18,-1,0
7d57c75d,3,10798.97,-1,1
7e208414,2,12025.59,-1,1
7e721392,1,11473.320000000002,1,0
7ff89f8f,2,10683.33,1,0
8050c789,1,12279.605,1,1
807f0298,4,11031.5,1,1
811f52b3,2,11216.28,1,0
81bf5923,0,12756.29,1,1
81fc01c6,4,10799.070000000002,1,0
8255c867,2,11168.995,1,0
82aab6d2,2,12144.18,1,0
82fcf37c,1,10958.59,1,0
833af382,0,11163.09,1,0
8382f4b6,4,11363.09,1,1
84633df4,1,10877.990000000002,1,1
8478df29,2,10907.47,1,1
84815d5a,2,11954.555,1,1
84c3b497,0,11516.5,1,0
85380836,4,11207.0,1,0
8612b37f,2,11884.44,1,1
861e71df,3,11377.645,-1,1
86454a6f,3,12254.81,-1,1
8648abae,2,12016.695,-1,1
865033f8,0,11191.29,1,0
87695469,1,10089.990000000002,1,0
877ed19c,4,11362.85,-1,1
87aa3730,2,11207.09,-1,0
884ecb5f,1,11184.47,-1,0
8902c3f6,3,10769.26,-1,0
896d15b9,2,11961.725,-1,0
8995c945,4,11002.15,1,1
89969c7a,1,10904.71,1,1
89f1085d,4,12787.62,1,1
89f36adf,0,12226.98,-1,1
89fdb2f2,3,11950.95,-1,1
8a3da6d1,3,12006.65,1,1
8a89da23,3,11219.570000000002,-1,0
8a9c8932,2,11281.39,1,0
8ac2f237,4,11354.16,1,1
8b12bab6,1,11860.915,1,1
8b5be31b,0,10830.62,1,0
8b95d6d1,3,10759.98,-1,0
8b9d8326,3,12247.98,-1,1
8bb9c1e6,4,11179.81,1,0
8bda1a11,1,10961.815,-1,0
8bfa881d,4,12192.16,1,1
8c167025,1,10770.36,-1,0
8c8348e8,4,12443.22,-1,1
8cc21f01,1,11751.755000000001,-1,0
8cc800b3,3,10897.7,-1,1
8d5d46d7,4,11218.81,1,0
8d92cb49,2,11420.93,1,1
8f201368,3,11198.45,1,0
90386ee4,0,11189.59,-1,0
91abc4c7,1,10965.23,1,0
91b301ce,3,11012.09,1,0
91db7070,3,12047.810000000001,-1,1
925a7cd1,0,12091.41,1,1
9283ae69,2,10979.76,1,0
9298ad5b,1,11149.740000000002,1,0
9314ff13,2,11992.17,1,0
93209a3d,0,11883.705,1,1
939d9c34,2,11855.15,1,1
93f5d2e6,4,11031.72,-1,0
940a48d9,2,10909.4,-1,1
940e709a,2,11033.45,1,0
9426ec1e,1,12004.79,-1,1
94467f50,4,10764.895,1,0
944f36b9,3,10854.34,-1,1
94d813a4,2,12715.5,1,1
95b559e7,4,11954.365000000002,-1,1
95c8427f,3,11190.02,1,0
96936c22,4,12084.64,1,1
96ae5806,1,12115.04,-1,1
96b7eea1,3,11138.11,1,0
9719aa04,0,10959.44,1,1
974802e7,2,10086.62,1,0
97cd5bf9,4,10819.63,1,0
98177ced,1,12663.42,-1,1
9896fc0b,0,10972.09,-1,0
98bc6f66,4,10964.355,1,0
992c99e8,3,11380.08,1,1
992ce078,1,11986.93,1,0
99529c45,3,11133.27,1,0
995ff498,4,11212.89,1,0
999daf80,3,11145.54,1,0
9a6b0392,2,10619.85,-1,1
9a8ae0d6,2,11949.76,1,1
9a95e33f,1,11471.154999999999,1,0
9ab94eeb,1,10976.97,1,0
9ad5410a,4,11892.67,1,1
9ae248be,2,12753.58,1,0
9af1ffd0,4,10808.97,1,0
9b5b61c1,2,11131.25,-1,0
9b9e3b49,1,11914.12,1,1
9bd2bba3,4,12537.88,1,1
9c211c53,0,10077.820000000002,1,0
9c350a6a,0,11401.425,-1,1
9c8375f7,1,11200.240000000002,1,0
9d072e4c,4,12014.165,-1,1
9d3ec64c,3,10800.47,-1,0
9d4272e3,1,12513.34,1,1
9d5e14d4,2,10931.320000000002,1,0
9da441ba,4,11361.71,-1,1
9dede370,3,12214.85,1,0
9def2eb2,4,11439.320000000002,-1,0
9df1b1f9,1,12001.67,1,1
9dfff011,2,11415.72,1,0
9e3e364d,2,11395.52,-1,1
9efc812e,0,11172.8,-1,0
9f0c7bae,3,12794.005000000001,-1,0
9ffce529,1,12046.3,1,0
a0383629,1,11192.04,-1,0
a056d01e,0,11728.915,-1,0
a08d9e63,0,10999.98,-1,0
a0b83014,4,11413.2,-1,1
a0e92ed6,2,11957.25,1,1
a15bc102,1,10945.04,1,0
a247e7cf,4,10972.92,-1,0
a2e8e7f6,1,10772.105,-1,0
a3518960,0,12141.18,1,1
a3f71395,3,12760.745,1,0
a4719920,3,11439.63,-1,1
a48640d9,1,12528.585,-1,1
a4cdbb0f,3,10964.23,1,0
a4f989c2,3,11161.92,-1,0
a5aa7973,1,10943.55,1,1
a5e6f7dc,0,11398.990000000002,-1,1
a612d5a0,4,11161.17,-1,0
a622ce4d,1,11401.61,-1,1
a645da9a,3,12020.955,-1,1
a692b17e,0,11177.2,1,0
a6b8ac67,4,12754.58,1,0
a6ed2eff,2,11316.77,1,1
a6f967fb,0,12665.075,-1,1
a76db406,4,10771.9,-1,0
a7744f5b,0,11198.97,-1,0
a783cc24,1,10749.54,-1,0
a79fd2e7,2,11956.8,1,1
a7fc3e6b,0,10954.45,-1,0
a85bb86f,3,11144.76,1,0
a85e4bc3,0,10079.9,-1,0
a87433c9,1,11889.71,-1,1
a8ed028a,3,12838.835,1,1
a959858c,4,12191.98,-1,1
a9c9b150,2,11157.72,1,0
aa95015b,3,11351.13,-1,1
aaaf3c03,2,11992.315,1,0
aaeffccb,3,12206.58,-1,1
ab112491,1,12290.355,1,1
ab18d3fc,0,12264.02,-1,1
ab3ced07,0,12216.81,1,1
ab6fe95d,3,10066.5,1,0
ab94878e,4,11176.02,1,0
abf460d2,3,12091.38,1,1
ac6f01d5,1,12508.070000000002,-1,1
ad2133a8,0,12045.47,1,0
add9c322,4,10876.7,1,1
ae069086,1,11197.86,1,0
ae0784a8,0,12073.740000000002,-1,1
ae35f33a,1,12681.25,-1,0
ae8959c3,1,10881.95,1,1
aed44918,3,12774.61,1,1
aee6393a,2,11004.69,-1,0
af7a59ce,0,11311.44,-1,0
aff4e561,0,10948.12,1,0
b04b58a3,4,10748.56,-1,0
b0d42b0d,2,11082.72,1,0
b0f53bf4,0,12211.91,1,1
b19b0395,1,11189.95,-1,0
b1efb8a4,1,12016.005000000001,1,1
b32902c0,1,10919.17,1,1
b32e4903,3,11183.63,1,0
b3388334,3,11470.96,1,0
b37fd114,1,11391.94,-1,1
b38e3116,4,12014.38,1,1
b4d8dd4f,4,11187.04,1,0
b4f37e6e,1,11185.86,-1,0
b56bc0aa,1,11199.84,1,0
b585b4fa,2,11228.16,1,0
b5aa9634,0,12536.93,1,1
b7974e66,1,12115.62,1,1
b7cdcecb,4,10961.03,-1,0
b7fea9ef,1,10759.64,-1,0
b85f7b06,2,11395.4,-1,1
b881d27e,3,11189.18,-1,0
b8c49c1a,2,10781.705,-1,0
b95e7121,4,11362.85,-1,1
b977be4a,2,11376.990000000002,-1,1
ba48188d,3,12244.305,1,1
bb2cdd83,4,11214.21,1,0
bb337fa0,0,11444.605,1,1
bb682ebd,0,11029.79,1,1
bc4381e2,4,12138.13,1,0
bcebcc5f,2,10950.58,-1,0
bd2c2f34,0,10684.76,1,0
bd4ae5da,4,11862.75,1,1
bd6f0e19,0,11354.85,-1,1
bd8f847e,1,12799.25,-1,0
be063506,4,11864.22,1,1
be35c8f2,1,12550.16,1,1
be83e781,2,11182.820000000002,-1,0
beda8696,1,10952.72,1,0
bf39bc20,1,11199.27,-1,0
bf70b410,4,10977.95,1,0
bffe3082,3,11891.9,-1,1
c03b9305,0,10797.44,1,0
c03d4aed,0,12799.73,-1,0
c03fba65,2,10781.69,1,0
c07fd0cd,0,12531.78,-1,1
c1708b88,0,11349.935000000001,-1,0
c1d046f4,2,11386.09,-1,1
c2717d4f,2,11320.015,1,1
c2c4db09,1,11382.95,-1,1
c2c6fc71,1,12084.85,-1,1
c36625df,3,11865.73,1,1
c3957531,4,12661.095000000001,1,1
c42fe306,0,10966.98,1,0
c43812e2,2,12189.42,1,0
c472c0b5,0,10799.9,1,1
c47e0767,3,12163.5,1,1
c50b42f6,0,10967.89,-1,0
c593337f,0,12108.77,1,1
c59b6c4a,1,10926.75,1,0
c66be2b8,2,11353.28,1,1
c6797dd7,2,12030.95,-1,1
c6b782a4,3,11206.35,1,0
c6c96179,3,11124.320000000002,-1,0
c70c0e01,0,12583.41,-1,1
c84c65be,2,10060.93,1,0
c8d9680c,4,11409.31,1,1
c908edd0,1,11349.28,1,1
c9578d27,0,11220.25,1,0
c96c018a,0,11361.16,-1,1
c99f9fae,4,12185.92,-1,1
c9e6734f,4,11203.130000000001,-1,0
c9e980e8,4,11382.23,-1,1
c9fedcf3,2,12126.685000000001,-1,1
cad13e8f,3,12736.2,-1,1
cb34231f,4,12758.59,-1,1
cb879f40,1,10826.33,1,1
cbb406b5,2,11402.71,1,1
cbe51de1,3,12196.055,-1,1
cbe62450,3,10830.76,1,1
cc08aa63,2,11198.495,1,0
cc8a1d57,1,12028.56,1,0
ccedb12b,2,12674.95,1,1
cd7f1687,1,11436.69,1,1
cda7eb37,4,12056.35,1,0
cdc31d65,1,12091.91,-1,1
cdc60a53,4,11206.19,1,0
ce55ba43,1,11442.29,1,1
ce8399b7,3,11180.820000000002,-1,0
cf50c9d1,3,11192.23,1,0
d00e7eb9,0,10922.72,-1,0
d011f41b,1,11159.64,-1,0
d07aed8f,2,12377.91,-1,1
d085e611,4,10909.89,-1,1
d0a0e7b5,4,10910.42,1,1
d0a43760,2,11182.185000000001,-1,0
d0cb63ae,3,11025.0,1,1
d114d9c2,1,10960.93,1,0
d1457cc5,4,10704.71,1,0
d1ecf309,0,11042.815,1,1
d1ee630d,0,11354.91,-1,1
d217e0c5,2,11428.16,-1,1
d24ff243,0,11206.53,-1,0
d273674e,4,11951.7,1,1
d2f3b1ab,4,11164.425,-1,0
d3df146b,2,12217.66,-1,1
d40f61d5,2,11200.705,-1,0
d41beaf2,4,11210.98,1,0
d463e527,0,12209.89,1,1
d4f60a28,4,12543.73,-1,1
d50c649a,2,11917.92,1,1
d543916f,3,10876.740000000002,-1,1
d5df0ff5,0,12043.63,1,1
d60430e6,1,11198.240000000002,1,1
d63196fe,0,12037.47,1,0
d6c320d9,3,11175.205,-1,0
d6dd7330,0,11949.61,1,1
d7ba4f9d,1,12601.570000000002,-1,1
d7eb0be8,3,12749.05,1,1
d84b621b,3,11184.015,1,0
d90aa14c,4,10921.990000000002,1,0
d924e971,0,12035.820000000002,1,1
d9ae59b2,2,11035.95,-1,1
d9d6d94d,3,12622.925,1,1
d9eca87b,2,10968.4,1,0
da2d4d7c,0,12250.66,-1,1
da3bfe4e,1,10966.66,-1,0
da3cf798,2,10793.05,1,0
da940160,3,11372.51,1,1
dafc88c3,2,11198.52,-1,0
dbee6c86,4,12588.245,1,1
dc5fbe29,3,12042.1,-1,0
dc7da28f,2,10955.215,-1,0
dc7f9757,2,11041.76,1,1
dd168de0,1,11001.67,1,0
dd64382d,3,10825.87,1,0
dd6bc5b2,2,11146.555,-1,0
dd7d638e,2,11191.58,1,0
ddc790ff,3,11309.474999999999,1,1
df71d1ff,4,10952.11,-1,0
df73b8f3,2,12549.755000000001,-1,1
df8290be,1,11224.25,1,0
e0079ed1,0,10961.78,-1,0
e03b45fd,0,12808.64,1,0
e0f36d98,1,11356.66,-1,1
e149204f,2,10964.97,-1,0
e14d641e,0,11228.9,1,0
e161bd0c,4,12215.58,-1,1
e201fd6d,2,12504.96,1,1
e25f1537,0,10787.235,1,0
e2fc7745,1,11983.14,1,1
e32da4ec,0,11987.93,1,1
e3b34f5b,1,10959.93,-1,0
e45a2a62,3,11218.6,1,0
e46f4ef4,4,12486.69,-1,1
e4726608,1,11953.43,1,1
e5864244,3,12747.820000000002,-1,1
e5c92e59,1,12199.12,1,1
e5ff9fd2,1,11765.53,1,0
e6c55748,3,11216.1,-1,0
e730c32b,2,11375.94,1,1
e737965a,4,10933.37,1,0
e748dd88,4,12029.06,-1,1
e7818f7a,2,11018.22,-1,1
e7c36e81,0,11182.85,1,0
e7d0c1de,0,11312.46,-1,1
e85074c5,3,11001.14,-1,0
e97032ad,0,11199.13,1,0
e9949a23,0,12045.73,1,0
ea0b99b7,2,12526.77,-1,1
ea3a0e38,1,10948.18,-1,0
ea41324e,2,11352.98,-1,1
eabc711b,1,11867.675,1,1
eac10e86,3,10946.54,-1,0
eafb863e,1,11196.26,1,0
eb06a4e7,0,11369.79,1,1
eb640a35,0,10861.0,-1,1
eb934281,4,11942.36,1,1
eba6605e,1,11285.48,1,0
ebe69318,3,11177.12,-1,0
ec0d597b,0,10938.1,-1,0
ec13af42,0,12213.56,-1,1
ecdab904,4,12182.79,1,0
ecdaf714,4,11020.035,1,0
ed6436d6,2,12231.11,1,1
ed6e6e54,2,11948.72,1,1
edf885a3,3,12280.72,1,1
ee0300f7,0,12551.97,-1,1
ee288beb,4,11036.335000000001,-1,1
ee4aecac,4,11755.19,-1,0
eeda36f5,0,12807.2,-1,0
eeed308d,1,11191.75,-1,0
ef04658e,1,10784.18,1,0
ef8e3ed0,1,12105.09,1,1
efde6ac3,3,10905.65,-1,1
efe96181,0,10762.69,-1,0
f0188a48,2,11401.94,-1,0
f021b650,1,12127.16,1,0
f03f10fe,3,11202.490000000002,-1,0
f053a1b9,1,12265.23,1,1
f074d277,2,12012.175,1,1
f07d7037,0,12130.26,1,0
f08774c3,4,12033.08,1,0
f140c2fa,2,12045.26,1,0
f16e25e3,2,10879.75,1,1
f2d4c8c9,1,10930.98,1,0
f321a31c,2,12538.87,-1,1
f40cd091,4,11901.03,1,1
f439a621,3,11018.2,1,0
f49fdea3,3,12111.66,1,1
f4d12d23,2,11184.81,1,0
f56d3ace,3,11314.77,-1,1
f5859199,4,12254.85,1,1
f5d8aab6,3,11026.58,1,1
f631da6e,3,11165.8,1,0
f6824bb0,4,11203.255000000001,1,0
f6bc699b,2,10982.83,-1,0
f6d009f4,2,11030.62,1,1
f72b268f,0,11045.23,-1,1
f8662c22,4,11715.820000000002,-1,0
f88ddb26,3,12139.320000000002,-1,0
f8afa78a,3,10979.56,-1,0
f8f59188,4,11310.83,1,1
f9fc81aa,4,11178.740000000002,-1,0
fa16d114,1,10932.83,-1,0
fa31da94,0,12187.59,-1,1
fa667be2,3,12584.085,1,1
fae0c593,0,10877.36,1,1
fb03ae90,4,11433.13,1,0
fb0904bd,0,10967.83,1,0
fb3848a1,4,10943.09,1,0
fb73b13a,3,10794.92,1,1
fba7683c,0,11839.050000000001,1,1
fbd68d27,1,11209.15,-1,0
fc03f21f,3,11878.775000000001,1,1
fc0d20b2,1,10793.935000000001,1,0
fcfcc902,1,11405.8,-1,0
fd3b4faa,4,11339.145,1,1
fd710aea,3,12163.065,1,1
fd8f77fa,3,11399.345000000001,-1,1
fde20ecf,2,12038.740000000002,-1,1
