"site_id","transect_id","site_in_transect","x","y","location_code","land_cover","mgmt_unit","canopy_cover","ndvi","dist_to_water_m","elevation_m","shrub_height_cm","passive_site","visual_scan_min","call_playback_min","track_survey_min","scat_survey_min","spotlight_min","total_effort_min","detected"
"T0008_02","T0008","02",83.9725875728597,87.5443841138887,"B/1648/S","Grassland","Central",51.3030932991032,0.585996190251775,257,1104,54,FALSE,6,5,15,8,19,53,1
"T0008_03","T0008","03",81.1788297497416,92.6493638583579,"D/303/N","Grassland","Central",21.952680030603,0.331604243768294,379,1021,113,FALSE,12,3,4,2,24,45,1
"T0009_01","T0009","01",22.9944877359413,87.0762412753885,"A/1683/N","Woodland","Central",49.1124894689549,0.481365655514045,373,809,9,FALSE,NA,5,8,1,30,55,0
"T0009_02","T0009","02",31.2351221018842,88.9659396756057,"B/513/N","Woodland","Central",67.1088374594207,0.657820273999114,467,918,49,FALSE,56,5,6,10,38,115,0
"T0009_03","T0009","03",22.7693965194797,88.342926042686,"E/1389/S","Woodland","Central",29.3950096054625,0.530821503647591,266,1203,32,FALSE,8,3,12,14,1,38,0
"T0009_04","T0009","04",23.2378874096559,85.7924465525222,"C/674/S","Woodland","Central",67.4301943160965,0.481338971538102,152,966,82,FALSE,11,20,13,1,NA,48,0
"T0009_05","T0009","05",25.7416386255048,86.5586479834492,"A/1115/N","Woodland","Central",29.9119693321057,0.351518376034857,156,1065,69,FALSE,2,35,19,30,8,94,0
"T0009_06","T0009","06",25.2770002246567,85.8018497274923,"D/1216/N","Woodland","Central",73.8056773535191,0.619646208935054,457,865,66,FALSE,11,13,6,1,42,73,0
"T0009_07","T0009","07",27.1464185455636,78.560646366377,"E/994/N","Woodland","Central",56.6715112920176,0.619051869542077,240,1034,87,FALSE,19,10,33,23,0,85,0
"T0010_01","T0010","01",57.261285223512,65.7718862494683,"F/1465/S","Grassland","Central",42.5129036921779,0.529711500082259,159,944,60,FALSE,4,14,77,16,14,125,1
"T0010_02","T0010","02",58.7028684778123,65.0243037454669,"D/1681/N","Grassland","Central",49.624064367046,0.499267493813877,153,1298,39,TRUE,0,0,0,0,0,0,1
"T0011_01","T0011","01",5.78037137154251,47.7630548039631,"F/68/S","Shrubland","North",39.0993069073022,0.402114197673662,397,794,41,FALSE,3,2,31,3,2,41,0
"T0012_01","T0012","01",69.4571341049647,58.6104302862814,"A/1119/S","Grassland","North",43.1353916378534,0.436617749052145,549,828,50,FALSE,31,34,1,1,24,91,1
"T0012_02","T0012","02",76.2305519054236,57.1113115354007,"E/426/S","Grassland","North",37.6375886152742,0.449747877898853,49,879,44,FALSE,29,7,3,23,9,71,1
"T0013_01","T0013","01",26.4007450862308,100,"E/477/N","Shrubland","South",25.6368390031853,0.379988159877821,119,903,88,FALSE,25,36,7,23,23,114,0
"T0014_01","T0014","01",82.6311015683496,29.2873511336264,"A/1139/N","Riparian","North",71.4030019225743,0.559574750233462,NA,903,99,FALSE,13,29,12,NA,2,84,1
"T0014_02","T0014","02",86.6221050187204,28.5965589053046,"D/1116/S","Riparian","North",17.8037249297263,0.313036558930155,401,827,63,FALSE,5,19,NA,9,16,52,0
"T0015_01","T0015","01",10.1245045557061,69.8868341828646,"F/1162/N","Grassland","Central",56.3125215167985,0.55893261885997,361,1029,53,FALSE,4,16,4,6,4,34,1
"T0015_02","T0015","02",14.2233181878661,72.7721720386654,"B/1649/S","Grassland","Central",79.6657003656718,0.67081767814519,112,1028,104,TRUE,0,0,0,0,0,0,0
"T0015_03","T0015","03",15.1976927146156,71.7619647656292,"B/1079/S","Grassland","Central",8.98229254275849,0.278397400954249,1139,1045,NA,FALSE,19,5,19,NA,3,50,0
"T0015_04","T0015","04",17.1808402790485,74.9486729423721,"E/1388/N","Grassland","Central",18.8019642175232,0.263820973660749,45,716,22,TRUE,0,0,0,0,0,0,0
"T0015_05","T0015","05",20.3833242552954,74.0180433611848,"C/239/N","Grassland","Central",16.5177902274605,0.278466113120418,1493,831,147,FALSE,3,50,4,39,15,111,0
"T0015_06","T0015","06",11.8974898466684,68.0904334814547,"B/806/N","Grassland","Central",40.3119091646091,0.565160484121987,62,954,NA,NA,1,3,2,7,41,54,1
"T0015_07","T0015","07",19.3856482482147,71.0265017698729,"C/709/N","Grassland","Central",29.4021445619474,0.415169583288701,196,818,71,TRUE,0,0,0,0,0,0,0
"T0016_01","T0016","01",36.7416868960133,21.7180186489707,NA,"Grassland","North",57.2529993972091,0.542142333063862,122,927,130,FALSE,18,48,36,14,3,119,1
"T0017_01","T0017","01",56.520670638589,40.7203638336369,"A/467/S","Shrubland","Central",63.8235790986443,0.642188832843677,647,849,43,FALSE,38,12,9,34,23,116,1
"T0018_01","T0018","01",0,60.7237019643406,"B/1038/S","Woodland","North",73.5022625182221,0.658823722948395,500,1125,97,FALSE,1,10,18,13,18,60,1
"T0018_02","T0018","02",0,58.7294198385217,"C/904/N","Woodland","North",31.2238608397456,0.410721689424453,175,957,75,TRUE,0,0,0,0,0,0,0
"T0018_03","T0018","03",0,56.1156004924343,"D/836/S","Woodland","North",38.1973407697148,0.528818231959956,11,789,91,FALSE,30,16,33,4,35,118,0
"T0018_04","T0018","04",0.606818705678852,60.7617899623598,"F/380/N","Woodland","North",39.5284361313057,0.356061908200985,202,994,57,TRUE,0,0,0,0,0,0,0
"T0019_01","T0019","01",32.0773475607624,68.0617897160178,"E/667/S","Grassland","North",16.8331337529526,0.341580342482602,257,987,87,TRUE,0,NA,0,0,NA,0,0
"T0020_01","T0020","01",1.45781862458346,74.3468092920034,"D/418/S","Grassland","South",13.0085097437116,0.213802188014085,574,747,41,FALSE,NA,4,17,2,1,48,0
"T0020_02","T0020","02",0,78.5079012358098,"E/1407/N","Grassland","South",15.5313893863846,0.217593095448446,700,951,43,FALSE,24,17,6,2,49,98,1
"T0021_01","T0021","01",38.5296174670614,48.6022135379368,"E/695/S","Grassland","North",36.1036670199137,0.328757162350521,645,904,52,NA,6,17,4,2,11,40,1
"T0021_02","T0021","02",35.9254290159067,46.2554481288728,"F/1386/N","Grassland",NA,33.0787408484671,NA,20,1188,55,TRUE,0,NA,0,0,0,0,0
"T0022_01","T0022","01",33.1328256416193,48.303544833153,"F/868/S","Riparian","South",42.0256100866595,0.422367406777483,799,675,97,FALSE,30,28,18,38,35,149,1
"T0022_02","T0022","02",32.6844519582584,49.8326041037886,"E/1629/S","Riparian","South",34.8143573393146,0.460040466830891,743,856,57,FALSE,1,4,13,16,3,37,1
"T0022_03","T0022","03",35.5368861847954,47.7522277357794,"F/1281/S","Riparian","South",16.2237104441567,0.359724374676188,737,1461,77,NA,0,4,NA,1,19,30,1
"T0022_04","T0022","04",33.5772669254129,48.627608721736,"F/818/N","Riparian","South",1.32836428243208,0.162133608152486,590,789,38,FALSE,12,2,6,3,44,67,1
"T0022_05","T0022","05",36.5146322397342,51.9677215462869,"B/1495/S","Riparian","South",17.4701549683409,0.300081764568582,297,736,56,FALSE,13,31,10,35,7,96,0
"T0022_06","T0022","06",30.2237414786449,45.9235668735237,"A/403/S","Riparian","South",53.4739616737882,0.377477339240278,98,971,96,TRUE,0,0,0,0,0,0,1
"T0022_07","T0022","07",39.4743485366132,47.230398497029,"B/624/N","Riparian","South",NA,0.211431077500197,100,706,30,FALSE,46,29,5,8,14,102,1
"T0022_08","T0022","08",39.157684317537,45.326186820325,"A/1517/S","Riparian","South",45.932888175092,0.558452114873677,282,1159,20,FALSE,56,4,1,39,13,113,1
"T0023_01","T0023","01",26.7973920767054,11.132053416087,"F/506/N","Woodland","South",28.568397179244,0.390627604222818,72,820,81,TRUE,0,0,0,0,0,0,0
"T0023_02","T0023","02",20.6470203128857,14.5975766059555,"E/46/N","Woodland","South",31.1059258897465,0.378885798925512,1222,1052,5,FALSE,5,11,9,29,8,62,1
"T0023_03","T0023","03",22.4317555791011,10.3736806744709,"C/394/N","Woodland","South",51.9774593266836,0.483753920544281,738,993,39,FALSE,7,19,7,48,NA,111,1
"T0024_01","T0024","01",2.8185470513484,23.6737646739359,"B/464/S","Grassland","South",30.2096735673923,0.331892929258672,693,904,67,FALSE,2,18,17,4,17,58,1
"T0024_02","T0024","02",2.87981900446118,25.8001971959939,"A/1751/N","Grassland","South",52.8149712883515,0.481617664223295,403,877,26,FALSE,23,31,14,27,18,113,0
"T0024_03","T0024","03",10.0188305007516,19.1288914142961,"A/879/S","Grassland","South",67.1903590529902,NA,63,651,0,FALSE,11,8,34,NA,14,101,1
"T0024_04","T0024","04",0.88697004998132,16.1639962496421,"A/741/N","Grassland","South",63.4525655660298,NA,1464,720,30,TRUE,0,0,0,0,0,0,0
"T0025_01","T0025","01",43.577895014438,66.0040863272417,"A/1255/N","Shrubland","Central",20.6521244076564,0.432929167071363,1072,707,39,TRUE,0,0,0,0,0,0,0
"T0026_01","T0026","01",21.5996034443535,58.2778029058886,"C/957/N","Grassland","Central",43.8089286990936,NA,806,871,76,TRUE,0,0,0,0,0,0,0
"T0026_02","T0026","02",14.5352177117123,56.280603700032,"E/903/N","Grassland","Central",44.6739542170338,0.491154920286766,94,1177,58,FALSE,20,2,3,14,4,43,0
"T0026_03","T0026","03",18.6927363825252,64.959879855158,"E/138/S","Grassland","Central",NA,0.258550739119071,569,941,62,FALSE,0,1,2,3,3,9,0
"T0027_01","T0027","01",42.1853033739756,78.0592890831404,"C/526/S","Grassland","North",32.1889754676235,NA,388,1068,13,FALSE,1,1,14,34,4,54,1
"T0027_02","T0027","02",39.5597117980029,79.2875016329684,NA,"Grassland","North",59.3060748797367,0.583196141475323,1108,815,77,TRUE,0,0,0,0,0,0,0
"T0028_01","T0028","01",10.794882714207,72.8547774982816,"D/8/S","Woodland","South",55.5837262981726,0.593178460432742,280,808,99,TRUE,0,0,0,0,0,0,1
"T0029_01","T0029","01",0,68.1387754667941,"D/1763/S","Shrubland","South",44.368611546041,0.564972154685147,1388,995,41,TRUE,0,0,0,0,0,0,0
"T0029_02","T0029","02",1.27181310476896,65.0573260101824,"D/1049/N","Shrubland","South",45.9510417559794,0.458678003306926,1368,781,51,FALSE,20,27,23,29,31,130,1
"T0030_01","T0030","01",65.1349931075021,1.17951144536027,"B/1504/S","Shrubland","North",28.3377278124417,0.317719971163112,385,710,89,TRUE,0,0,0,0,0,0,1
"T0030_02","T0030","02",61.158517181237,13.0259869513293,"F/1548/S","Shrubland","North",50.5442348244501,NA,518,860,57,FALSE,22,20,0,13,4,59,1
"T0031_01","T0031","01",90.0346160991174,69.8532738152517,"F/1169/N","Grassland","Central",47.4899910405778,0.544944400037782,1300,793,60,FALSE,2,2,18,21,7,50,1
"T0032_01","T0032","01",12.7798835928021,77.0087690010666,"D/1141/S",NA,"Central",43.1426304042015,0.495462589255624,6,689,NA,FALSE,13,8,5,1,15,42,0
"T0033_01","T0033","01",71.4771021500266,51.6784319075215,"C/1107/N","Riparian","North",64.6183590731071,0.589265104493112,376,1076,37,TRUE,0,0,0,0,0,0,1
"T0033_02","T0033","02",71.2630235959335,63.2223527485461,"E/1416/S",NA,"North",29.521384187239,0.439754701474867,79,853,109,FALSE,9,17,66,9,2,103,1
"T0034_01","T0034","01",1.03916186537195,63.3673696552735,"C/122/S","Grassland","South",22.1556777070968,0.335079286609292,161,1054,49,FALSE,2,20,13,7,38,80,0
"T0035_01","T0035","01",61.7723449786661,78.0926460731,"F/1750/N","Grassland","Central",41.4095548190297,0.541630203414192,105,1031,100,FALSE,10,20,24,20,21,95,1
"T0035_02","T0035","02",59.3198150925027,81.0169474397071,"A/341/N","Grassland","Central",27.9714676135311,0.308883302779195,104,987,66,FALSE,13,14,4,3,63,97,0
"T0035_03","T0035","03",57.3545100840953,79.0477050371573,"F/869/N","Grassland","Central",16.5573290590754,0.291840638412433,87,958,84,FALSE,32,13,8,21,14,88,1
"T0035_04","T0035","04",63.6073488785189,79.6954659653556,"F/1412/S","Grassland","Central",6.41528278614636,0.25424080572413,326,697,63,TRUE,0,0,0,NA,0,0,1
"T0035_05","T0035","05",65.1369058043041,79.5669699943546,"A/368/N","Grassland","Central",36.75554628289,0.450242903525213,213,830,32,TRUE,0,NA,0,0,0,0,0
"T0035_06","T0035","06",57.8679230573853,78.3407771970507,"B/1122/N","Grassland","Central",66.0750979841571,0.676698322492326,1023,776,72,FALSE,2,1,6,18,15,42,0
"T0035_07","T0035","07",49.9535427609213,74.477717174234,"C/1144/S","Grassland","Central",51.140940007617,0.49518617530966,738,905,35,TRUE,0,0,0,0,0,0,0
"T0036_01","T0036","01",42.29324708961,51.1806329685005,"F/1088/S","Woodland","South",53.1992379438097,0.534342026208712,1002,705,33,FALSE,6,0,23,9,3,41,1
"T0037_01","T0037","01",25.7346651145833,10.9721937298879,"E/1165/S","Shrubland","South",51.5349859572621,0.552916984888351,17,753,35,FALSE,3,18,15,25,3,64,1
"T0037_02","T0037","02",19.5420466096286,13.0706821358148,"C/251/S","Shrubland","South",14.9302349766088,0.244632053327291,352,1032,64,FALSE,26,25,3,13,24,91,1
"T0037_03","T0037","03",18.8804946674438,10.4740211389513,"D/373/N","Shrubland","South",13.8167813962124,0.218843364743178,120,941,0,FALSE,47,12,22,5,20,106,0
"T0037_04","T0037","04",22.9757013819971,10.092674539783,"F/586/S","Shrubland","South",50.6938047842269,0.436727329641933,40,NA,81,FALSE,10,5,4,46,50,115,1
"T0038_01","T0038","01",47.0283003884738,6.28341343024694,"C/50/S","Grassland","South",33.0109727250424,0.428095791419395,2005,1014,25,FALSE,3,6,66,18,0,93,0
"T0039_01","T0039","01",74.3462219683386,92.0610029163494,"A/616/S","Shrubland","North",16.7878221194619,0.274697764181687,12,868,58,FALSE,19,30,30,4,11,94,1
"T0040_01","T0040","01",44.7247297602287,73.9342999666379,"E/1464/N","Shrubland","South",21.3011065703141,0.306588742848895,174,1162,129,TRUE,0,0,0,0,0,0,0
"T0041_01","T0041","01",35.5278350836166,15.1105218596847,"E/1592/N","Grassland","North",28.4239953013088,0.334316785005655,82,1044,46,TRUE,0,0,0,0,0,0,0
"T0041_02","T0041","02",38.4269621842573,17.2895646453313,"A/1139/N","Grassland","North",72.3759125142746,0.664166348666458,105,797,56,FALSE,NA,17,0,17,5,55,1
"T0041_03","T0041","03",37.9778922557577,19.0879589596477,"B/753/S","Grassland","North",15.0310012276195,0.280460762959408,403,1061,31,TRUE,0,0,0,0,0,0,0
"T0042_01","T0042","01",78.3337085825728,85.7060747009777,"F/828/S","Grassland","South",46.8082885933465,0.444912301062278,61,749,79,FALSE,0,5,4,19,4,32,1
"T0042_02","T0042","02",93.9410398246119,88.9536282459698,"B/128/N","Grassland","South",35.8084225249827,0.479807527828134,599,897,79,TRUE,0,0,0,0,0,0,0
"T0042_03","T0042","03",87.0526140367037,89.9290472979955,"A/1361/S","Grassland","South",76.2177857340124,0.665494184606856,577,803,85,FALSE,14,12,1,59,34,120,1
"T0042_04","T0042","04",89.1622133822637,84.3934574873681,"A/244/N","Grassland","South",13.5787461333903,NA,93,854,50,TRUE,NA,0,0,0,0,0,0
"T0043_01","T0043","01",43.4824001820464,65.3041474311814,"A/190/S","Shrubland","South",16.9351022363049,0.26999585576736,345,938,42,FALSE,31,14,1,7,6,59,1
"T0044_01","T0044","01",44.7131872685919,86.2697296177673,"E/1535/S","Grassland","Central",25.4870952646159,0.486880328092693,167,1009,63,FALSE,5,10,28,7,11,61,1
"T0044_02","T0044","02",43.3533215356422,83.8827194858101,"C/1231/N","Grassland","Central",2.7867659433256,0.212879236313832,232,586,35,FALSE,10,2,62,12,17,103,0
"T0044_03","T0044","03",43.039720100568,88.2129244619139,"D/888/S","Grassland","Central",31.4280613754369,0.424382676541173,NA,1033,38,FALSE,26,8,25,4,4,67,0
"T0044_04","T0044","04",42.0004847792059,87.0967651095865,"E/257/S","Grassland","Central",15.5407144634404,0.291016638287829,87,1080,2,FALSE,19,11,7,64,10,111,0
"T0044_05","T0044","05",44.7525259564733,89.8630073323252,"B/871/S","Grassland","Central",24.6351163617206,0.30339008939109,1519,1053,7,TRUE,0,0,0,0,0,0,0
"T0045_01","T0045","01",3.37868161535359,78.4962358501774,"E/744/S","Grassland","North",67.1689141870608,0.56007632329129,NA,1122,37,FALSE,33,5,5,2,32,77,1
"T0045_02","T0045","02",11.2047506336359,79.088680326933,"F/1395/S","Grassland","North",41.2077191267145,0.511604426550905,527,868,42,FALSE,56,16,2,3,0,77,0
"T0046_01","T0046","01",0,64.2700353374721,"B/708/N","Woodland","Central",61.7984258234345,0.550528309794921,342,974,25,FALSE,0,38,14,3,21,76,1
"T0047_01","T0047","01",96.7062034367722,56.3898002926513,"A/365/S","Riparian","Central",38.9792497101851,0.363394208591996,372,986,32,FALSE,20,53,33,3,0,109,1
"T0047_02","T0047","02",93.3199004425774,57.203768623531,"C/1621/N","Riparian","Central",23.5796394278198,0.343416358757531,389,755,68,TRUE,0,0,0,0,0,0,0
"T0047_03","T0047","03",96.0023212067479,62.8568150341626,"F/962/S","Riparian","Central",42.9133159803499,NA,296,602,62,FALSE,6,22,20,14,4,66,1
"T0047_04","T0047","04",93.7549047758621,60.871352244327,"F/396/N","Riparian","Central",34.4001713349671,0.359434130540876,37,930,128,FALSE,36,28,3,10,0,77,1
"T0048_01","T0048","01",29.1074494898115,57.2143785496856,"A/188/S","Shrubland","Central",53.178922372692,0.586794139795818,323,492,71,TRUE,0,0,0,0,0,0,0
"T0049_01","T0049","01",54.9908051865477,1.96450270020192,"C/1280/S","Grassland","Central",23.4089254647884,0.422435394927924,570,782,58,FALSE,10,11,17,33,8,79,1
"T0049_02","T0049","02",47.8016496923135,5.90215204914448,"F/1091/N","Grassland","Central",46.2810911686923,0.518649376965679,340,741,68,FALSE,10,53,6,21,6,96,1
"T0049_03","T0049","03",50.9140498268579,6.66555199283502,"E/713/N","Grassland","Central",21.2453360198946,0.380708119228459,146,912,NA,FALSE,18,26,3,2,3,52,1
"T0050_01","T0050","01",22.3783370904213,41.7436458242257,"E/332/S","Grassland","South",50.5833281883536,0.441080436879046,303,1114,85,TRUE,0,0,0,0,0,0,1
"T0051_01","T0051","01",100,53.7217756287853,"C/513/N","Riparian","North",33.269456019225,0.398621432883719,141,1114,32,FALSE,2,20,2,11,28,63,1
"T0051_02","T0051","02",99.2869773398544,50.8902863244504,"A/597/S","Riparian","North",62.1119075266588,0.678131588619419,451,1006,0,TRUE,0,0,0,0,0,0,1
"T0051_03","T0051","03",99.6929842660108,46.2908086901106,"E/275/N","Riparian","North",38.4623660630696,0.371084031622938,1150,950,47,FALSE,25,12,1,13,3,54,1
"T0051_04","T0051","04",93.0949012008333,54.4959034761657,NA,"Riparian","North",49.5808819222776,0.508076220509999,102,735,92,TRUE,NA,0,0,0,0,0,1
"T0051_05","T0051","05",95.8403388106075,51.8319005241736,"C/284/N","Riparian",NA,65.0544585592847,0.541313445847423,4,905,22,FALSE,22,12,21,4,10,69,1
"T0052_01","T0052","01",68.7357703339806,49.2575032990662,"B/1239/S","Grassland","North",53.4325026020338,0.547581739309494,29,731,79,FALSE,10,16,11,8,NA,60,1
"T0053_01","T0053","01",92.6960061979424,54.2140009581953,"B/1104/N","Woodland","North",43.0728693841616,0.532424716959577,681,739,29,TRUE,0,0,0,0,0,0,0
"T0053_02","T0053","02",95.2680263458054,62.550077014039,"C/1065/N","Woodland","North",16.1521360480213,0.269985332126874,15,970,96,FALSE,41,33,28,7,9,118,1
"T0053_03","T0053","03",98.6953901500375,61.5133820431001,"E/433/S","Woodland","North",48.6271389601081,0.515539444774573,180,894,83,FALSE,NA,5,2,11,25,50,1
"T0054_01","T0054","01",87.735373839196,33.8897171531118,"E/717/N","Woodland","South",12.0846199778555,0.19692439791618,300,975,50,TRUE,0,0,0,0,0,0,0
"T0055_01","T0055","01",53.3454645201069,85.7776533704106,"B/1247/S","Grassland","North",59.0425859896385,0.524913868653206,104,911,128,FALSE,17,11,28,19,11,86,1
"T0056_01","T0056","01",69.5297500187926,11.604070394121,"E/1681/N","Riparian","South",27.5759011341936,0.398349333213682,217,843,107,FALSE,0,13,NA,30,1,50,1
"T0057_01","T0057","01",75.1209092513714,69.3755821335847,"C/938/S","Shrubland","South",45.270643433534,0.506004988196611,897,724,70,FALSE,25,37,2,1,61,126,1
"T0058_01","T0058","01",8.82118547718777,22.691254010183,"C/74/N","Riparian","North",21.1351956375503,0.227102602172808,563,1133,56,TRUE,0,0,0,0,0,0,0
"T0058_02","T0058","02",6.43762981442904,31.7111581338174,"C/231/S","Riparian","North",42.663339170202,0.452914224866442,139,1088,12,TRUE,0,0,0,0,0,0,0
"T0058_03","T0058","03",0.857344142640387,28.4597512783773,"E/1784/N","Riparian","North",40.9701266679341,0.408545211118262,235,866,75,TRUE,0,0,0,0,0,0,0
"T0058_04","T0058","04",1.66736889416021,26.9507600109798,"F/1542/N","Riparian","North",37.9229398229386,0.443659160975502,278,959,90,FALSE,11,26,0,12,7,56,1
"T0058_05","T0058","05",4.69495098546056,27.5257191886371,"D/787/N","Riparian","North",30.7805007444884,0.310677371075769,203,983,56,FALSE,3,16,2,3,10,34,1
"T0058_06","T0058","06",10.4657048281093,27.7503023104588,"F/1767/S",NA,"North",11.0470802790573,0.223833163086936,191,1161,81,TRUE,0,0,0,0,0,0,0
"T0059_01","T0059","01",91.717319779205,69.5346763436653,"B/949/S","Grassland","North",92.3730914211271,0.767149633324581,355,928,92,FALSE,16,3,9,8,1,37,1
"T0060_01","T0060","01",19.1539342702528,81.0750329270094,"A/1580/S","Woodland","South",17.3971623406829,0.274380837335297,185,921,81,FALSE,2,9,0,18,6,35,0
"T0061_01","T0061","01",31.7116414899609,85.2835762094689,"C/976/N","Grassland","Central",52.6440603835273,0.445152949417056,834,1066,124,FALSE,5,15,13,12,27,72,0
"T0061_02","T0061","02",31.4852276385221,86.3645780479347,"D/1489/S","Grassland","Central",NA,0.319960911177486,302,1104,70,FALSE,28,20,11,19,6,84,0
"T0061_03","T0061","03",26.3971782201368,87.1394783663516,"A/307/N","Grassland","Central",14.2384008054731,0.329829150506078,480,1062,28,TRUE,0,0,0,0,0,0,0
"T0062_01","T0062","01",87.6661964191914,74.4274976529055,"E/834/N","Woodland","North",69.3804588051252,0.596127119883896,1370,1041,104,FALSE,1,8,10,20,13,52,1
"T0062_02","T0062","02",94.4425945105807,74.1050371108252,"A/1428/S","Woodland","North",30.2507891414032,0.415941023495186,334,1006,44,TRUE,0,0,0,0,0,0,0
"T0062_03","T0062","03",89.0864429898187,69.9812150504139,"E/1666/N","Woodland","North",36.9232895364137,0.417288630570351,834,857,50,FALSE,40,34,7,14,NA,151,1
"T0062_04","T0062","04",90.223231894639,73.8483349734465,"C/192/S","Woodland","North",78.4632178270321,0.682689791234861,300,954,46,FALSE,4,47,5,51,2,109,1
"T0063_01","T0063","01",61.0379313773318,18.1229314617127,"C/1652/N","Riparian","Central",54.6583237602337,0.591849456582112,372,854,51,FALSE,32,5,9,21,NA,80,1
"T0063_02","T0063","02",54.0995073639967,22.372210479461,"F/781/N","Riparian","Central",46.5252467077422,0.514950338521453,154,649,114,FALSE,10,102,8,42,2,164,1
"T0063_03","T0063","03",56.8126906112278,22.1087275641049,"C/789/N","Riparian","Central",30.0613034366586,0.371228295024631,66,1034,48,FALSE,5,24,21,0,61,111,1
"T0063_04","T0063","04",57.1977202302077,31.3855199324069,"B/921/N","Riparian","Central",34.9045883806689,0.361170601460753,181,835,56,TRUE,0,0,0,0,0,0,1
"T0063_05","T0063","05",55.4476929572487,24.2620766925506,"D/897/N","Riparian","Central",34.93352625747,0.439336954082375,377,764,71,TRUE,0,0,0,0,0,0,1
"T0063_06","T0063","06",54.3832531694379,27.2140533630949,"A/1589/N","Riparian","Central",32.1136827490765,0.421340363237735,541,994,45,TRUE,0,0,0,0,0,0,0
"T0064_01","T0064","01",41.8538441245583,76.7537974753345,"A/1707/N","Woodland","South",68.8276320351591,0.634803641401347,74,859,32,TRUE,0,0,0,0,0,0,1
"T0065_01","T0065","01",40.74341640573,29.3899317208011,"E/1308/N","Riparian","South",39.7538604978062,0.401644467772531,1662,518,36,FALSE,13,3,26,6,10,58,1
"T0066_01","T0066","01",9.06005377841443,85.7461050163147,"B/1467/N","Woodland","South",24.6280695896577,0.373550652745541,386,819,67,TRUE,0,0,0,0,0,0,0
"T0067_01","T0067","01",58.8392378068913,47.9382754815445,"C/644/S","Shrubland","Central",58.5510954324839,0.598088969197687,136,576,112,FALSE,7,4,2,6,2,21,1
"T0067_02","T0067","02",62.7619301507351,52.8237317442786,"D/67/N","Shrubland","Central",42.4953566242405,0.421796306142783,356,966,26,FALSE,46,28,9,7,3,93,1
"T0068_01","T0068","01",46.4643256848548,43.7465825237132,"F/149/S","Grassland","Central",3.04958949324653,0.286760518513257,193,713,58,FALSE,16,29,7,8,12,72,1
"T0068_02","T0068","02",46.7450590452927,41.2266824837763,"C/1140/N","Grassland","Central",21.5877239182251,0.352242104526108,1651,989,88,FALSE,33,1,18,51,NA,124,0
"T0069_01","T0069","01",52.9765978435138,64.5537892454944,"A/1587/S","Grassland","North",28.5479912621385,0.34576012750242,29,869,20,FALSE,2,10,2,11,NA,55,1
