"animal_id","step","x","y","depth","temp","layer_pos","layer_input"
"A001",112,37.69,36.36,70.3,14.187,-5.015,-5.015
"A001",113,37.59,36.43,70.65,12.883,-4.554,-4.554
"A001",114,37.83,36.69,70.33,13.515,-4.889,-4.889
"A001",115,38.12,36.47,71.3,14.082,-4.248,NA
"A001",116,37.19,36,70.39,13.678,-4.791,NA
"A001",117,37.69,36.86,69.62,14.358,-5.385,NA
"A001",118,38.85,36.25,70.74,14.59,-5.441,NA
"A001",119,39,35.74,71.99,13.698,-4.574,NA
"A001",120,38.69,35.35,72.69,14.135,-3.883,NA
"A001",121,39.68,36.5,73.21,12.693,-3.407,NA
"A001",122,39.96,36.39,72.89,13.636,-3.971,NA
"A001",123,40.68,37.02,72.16,13.433,-4.857,NA
"A001",124,40.86,36.3,73.18,13.411,-4.318,NA
"A001",125,41.27,36.02,73.23,13.456,-4.671,NA
"A001",126,42.16,35.93,73.69,14.215,-4.813,NA
"A001",127,42.5,36.35,74.41,13.385,-4.136,NA
"A001",128,42.66,36.14,75.03,13.221,-3.7,NA
"A001",129,42.18,36.56,74.82,12.569,-3.418,NA
"A001",130,42.52,36.59,75.49,12.883,-2.954,NA
"A001",131,42.25,36.66,74.99,13.03,-3.252,NA
"A001",132,43.57,37.89,75.81,13.224,-2.762,NA
"A001",133,43.67,37.32,75.34,12.987,-3.548,NA
"A001",134,43.1,37.8,74.65,12.888,-3.64,NA
"A001",135,44.06,38.31,75.17,13.027,-3.544,NA
"A001",136,43.68,39.11,74.35,13.405,-3.716,NA
"A001",137,42.67,39.03,74.01,13.279,-3.368,NA
"A001",138,42.11,38.92,73.93,12.69,-3.099,NA
"A001",139,42.27,38.76,73.68,13.352,-3.543,NA
"A001",140,42.14,38.95,73.6,13.496,-3.429,NA
"A001",141,42.58,39.07,73.78,12.575,-3.515,NA
"A001",142,42.58,38.64,74.5,12.933,-3.006,NA
"A001",143,41.61,38.96,73.33,13.051,-3.3,NA
"A001",144,41.7,39.07,72.93,13.175,-3.709,NA
"A001",145,43.02,39.24,73.95,12.722,-3.582,NA
"A001",146,42.91,40.66,72.04,14.332,-4.622,NA
"A001",147,42.73,40.42,72.65,12.839,-4.014,NA
"A001",148,42.87,39.73,73.28,13.053,-3.866,NA
"A001",149,44.07,39.68,74.04,13.702,-4.031,NA
"A001",150,43.65,39.21,74.18,13.524,-3.816,NA
"A001",151,44.28,38.5,74.42,13.844,-4.363,NA
"A001",152,44.03,38.1,74.27,13.527,-4.527,NA
"A001",153,43.99,38.03,73.9,13.589,-4.897,NA
"A001",154,43.95,38.48,73.95,14.225,-4.613,NA
"A001",155,44.61,38.53,74.24,14.244,-4.766,NA
"A001",156,45.12,37.86,73.4,14.325,-6.226,NA
"A001",157,45.87,37.67,74.08,15.183,-6.126,NA
"A001",158,46.55,36.67,74.42,15.846,-6.579,NA
"A001",159,47.84,36.57,75.04,15.576,-6.796,NA
"A001",160,47.77,35.81,74.44,14.86,-7.547,NA
"A001",161,46.15,35.09,73.77,14.927,-7.436,NA
"A001",162,45.9,35.85,74.76,14.969,-6.086,NA
"A001",163,45.55,35.86,75.9,13.201,-4.732,NA
"A001",164,45.55,35.98,76.07,14.282,-4.515,NA
"A001",165,46.42,36.39,76.33,13.545,-4.664,NA
"A001",166,46.19,36.18,75.78,14.428,-5.136,NA
"A001",167,45.86,36.14,74.9,14.723,-5.822,NA
"A001",168,46.35,35.9,74.67,14.795,-6.439,NA
"A001",169,46.94,35.81,74.53,15.454,-6.959,NA
"A001",170,46.91,35.31,75.6,14.871,-6.008,NA
"A001",171,47.3,35.97,75.19,14.152,-6.475,NA
"A001",172,47.71,36.46,74.57,14.547,-7.217,NA
"A001",173,48.02,36.07,76.77,14.237,-5.316,NA
"A001",174,47.75,37.25,76.72,14.041,-4.851,NA
"A001",175,48.31,37.11,76.39,14.749,-5.591,NA
"A001",176,47.03,36.94,76.15,13.495,-5.057,NA
"A001",177,47.61,36.08,76.8,14.691,-5.026,NA
"A001",178,48.03,36.23,77.23,13.832,-4.814,NA
"A001",179,49.41,35.79,77.46,14.168,-5.541,NA
"A001",180,49.59,36.16,76.27,15.172,-6.759,NA
"A001",181,49.68,36.41,75.49,15.363,-7.539,NA
"A001",182,50.43,37.03,76.02,15.657,-7.328,NA
"A001",183,50.84,36.66,78.02,13.685,-5.675,NA
"A001",184,50.78,35.75,77.87,13.616,-5.989,NA
"A001",185,50.73,36.16,77.94,13.57,-5.802,NA
"A001",186,50.79,36.56,76.55,14.756,-7.146,NA
"A001",187,50.15,37.43,75.86,14.677,-7.199,NA
"A001",188,50.96,37.35,76.85,15.5,-6.764,NA
"A001",189,50.64,37.67,77.4,14.722,-5.918,NA
"A001",190,50.52,37.95,77.17,15.041,-5.992,NA
"A001",191,51.01,37.63,78.63,13.722,-4.936,NA
"A001",192,50.82,36.7,78,14.083,-5.679,NA
"A001",193,50.84,36.39,78.73,13.817,-5.038,NA
"A001",194,51.85,36.61,78.66,14.856,-5.697,NA
"A001",195,51.48,36.81,78.35,13.855,-5.727,NA
"A001",196,51.4,36.08,78.66,14.218,-5.523,NA
"A001",197,52.39,36.2,78.96,14.374,-5.83,NA
"A001",198,52.18,35.69,79.49,13.891,-5.269,NA
"A001",199,51.88,36.35,79.18,13.877,-5.257,NA
"A001",200,52.12,36.55,79.38,13.928,-5.163,NA
"A001",201,52.56,36.38,79.13,14.228,-5.729,NA
"A001",202,52.21,36.9,78.57,14.616,-5.946,NA
"A001",203,52.22,36.49,78.5,13.674,-6.12,NA
"A001",204,52.25,37.33,79.19,14.47,-5.256,NA
"A001",205,51.79,36.94,79.15,14.303,-5.095,NA
"A001",206,51.99,35.96,79.33,14.451,-5.251,NA
"A001",207,53.18,35.62,80.62,13.311,-4.783,NA
"A001",208,53.78,35.65,80.88,13.952,-4.9,NA
"A001",209,53.37,35.79,80.44,13.063,-5.052,NA
"A001",210,53.66,35.54,80.93,14.049,-4.8,NA
"A001",211,53.59,35.56,80.57,14.44,-5.097,NA
"A001",212,53.58,35.99,81.7,13.387,-3.888,NA
"A001",213,54.21,36.36,82.71,13.111,-3.21,NA
"A001",214,54.63,36.61,83.06,12.422,-3.084,NA
"A001",215,55.22,36.23,82.62,13.063,-3.986,NA
"A001",216,55.49,36.56,82.91,13.579,-3.792,NA
"A001",217,54.98,37.57,82.15,13.101,-4,NA
"A001",218,54.73,37.16,82.16,13.704,-3.923,NA
"A001",219,54.08,38.43,81.41,13.314,-3.947,NA
"A001",220,54.62,38.94,81.19,13.306,-4.373,NA
"A001",221,55.56,38.12,82.39,12.814,-4.003,NA
"A001",222,54.63,37.58,81.64,12.848,-4.288,NA
"A001",223,54.83,37.48,81.83,13.449,-4.25,NA
"A001",224,55.29,37.58,81.31,13.465,-5.043,NA
"A001",225,55.28,37.12,81.26,13.709,-5.194,NA
"A001",226,54.92,36.87,80.76,14.748,-5.515,NA
"A001",227,54.49,37.26,81.58,13.085,-4.328,NA
"A001",228,55.51,37.55,81.78,13.548,-4.723,NA
"A001",229,55.54,37.2,82.9,12.739,-3.7,NA
"A001",230,56.42,37.06,84.12,12.649,-3.086,NA
"A001",231,56.12,36.66,84.4,12.758,-2.701,NA
"A001",232,57.04,35.3,85.61,13.185,-2.36,NA
"A001",233,57.42,35.28,85.08,12.44,-3.152,NA
"A001",234,57.48,35.24,85.17,12.959,-3.101,NA
"A001",235,58.23,35.52,85.07,13.268,-3.648,NA
"A001",236,58,35.26,84.45,13.24,-4.165,NA
"A001",237,57.81,35.89,83.94,13.842,-4.422,NA
"A001",238,57.87,35.33,84.04,13.555,-4.474,NA
"A001",239,57.88,36.66,83.28,14.421,-4.967,NA
"A001",240,57.88,36.2,84.1,13.881,-4.24,NA
"A001",241,57.87,36.73,84.65,13.162,-3.571,NA
"A001",242,57.47,38.09,84.58,11.855,-3.065,NA
"A001",243,58.22,37.75,85.36,13.315,-2.854,NA
"A001",244,57.83,37.64,85.6,12.661,-2.387,NA
"A001",245,57.54,37.37,85.1,12.653,-2.762,NA
"A001",246,57.23,37.59,85.75,12.224,-1.863,NA
"A001",247,58.48,38.06,86.24,11.54,-2.058,NA
"A001",248,58.96,37.24,86.84,12.09,-1.979,NA
"A001",249,59.44,36.81,87.67,11.358,-1.564,NA
"A001",250,58.34,36.2,87.03,11.154,-1.619,NA
"A001",251,58.32,36.75,86.55,11.976,-1.96,NA
"A001",252,59.24,37.21,84.74,13.98,-4.263,NA
"A001",253,60.22,36.98,85.52,13.075,-4.178,NA
"A001",254,59.08,36.59,84.04,14.049,-5.001,NA
"A001",255,57.87,35.86,83.47,13.971,-4.937,NA
"A001",256,57.38,36.61,82,15.012,-5.925,NA
"A001",257,56.95,36.42,82.65,13.932,-5.036,NA
"A001",258,57.84,37.14,82.22,14.256,-5.894,NA
"A001",259,58.49,38.55,82.7,13.808,-5.474,NA
"A001",260,59.88,39.43,84.39,12.91,-4.43,NA
"A001",261,60.21,38.93,84.45,13.066,-4.72,NA
"A001",262,60.19,39.65,83.85,13.416,-5.097,NA
"A001",263,61.36,39.23,83.97,13.833,-5.84,NA
"A001",264,61.92,39.42,84.31,15.074,-5.797,NA
"A001",265,62.41,39.52,84.83,13.757,-5.547,NA
"A001",266,63.08,39.84,85.12,14.654,-5.57,NA
"A001",267,62.92,39.81,85.2,14.296,-5.405,NA
"A001",268,63.15,39.95,84.62,14.049,-6.077,NA
"A001",269,63.8,40.29,85.85,13.844,-5.133,NA
"A001",270,62.57,38.94,85.8,13.863,-4.861,NA
"A001",271,62.67,38.84,86.65,13.639,-4.099,NA
"A001",272,62.24,39.15,85.64,13.286,-4.742,NA
"A001",273,61.85,39.32,85.82,13.156,-4.272,NA
"A001",274,61.59,39.43,85.31,13.55,-4.577,NA
"A001",275,62.05,40.49,86.25,13.203,-3.596,NA
"A001",276,62.25,40.33,86.25,13.758,-3.775,NA
"A001",277,61.79,40.33,84.83,14.235,-4.911,NA
"A001",278,62.41,40.2,86.24,13.104,-3.921,NA
"A001",279,62.93,41.56,86.52,13.097,-3.504,NA
"A001",280,63.4,41.01,88.57,12.763,-1.93,NA
"A001",281,63.77,41.55,89.05,12.029,-1.488,NA
"A001",282,64.63,42.06,88.82,12.036,-2.057,NA
"A001",283,64.29,41.4,89.47,12.181,-1.441,NA
"A001",284,64.04,41.99,88.66,11.821,-1.897,NA
"A001",285,64.64,42.14,88.91,11.766,-1.945,NA
"A001",286,65.1,42.52,89.42,12.004,-1.573,NA
"A001",287,65.84,41.22,90.13,12.306,-1.769,NA
"A001",288,65.85,40.63,88.94,12.912,-3.17,NA
"A001",289,66.25,40.34,89.27,12.813,-3.184,NA
"A001",290,66.93,40.42,89.3,13.407,-3.53,NA
"A001",291,66.46,40.35,89.4,12.361,-3.176,NA
"A001",292,67.53,40.23,90.12,13.427,-3.13,NA
"A001",293,67.02,40.58,89.47,12.924,-3.349,NA
"A001",294,66.02,41.08,88.6,13.129,-3.454,NA
"A001",295,66.05,41.99,88.96,12.672,-2.785,NA
"A001",296,66.29,42.17,89.82,12.518,-2.007,NA
"A001",297,65.99,41.28,89.93,12.326,-2.037,NA
"A001",298,65.53,40.35,89.94,11.653,-2.08,NA
"A001",299,65.34,41.14,88.67,12.686,-2.964,NA
"A001",300,66.27,40.82,89.55,12.642,-2.744,NA
"A001",301,65.18,40.98,88.66,12.362,-2.923,NA
"A001",302,64.22,41.15,88.01,13.128,-2.936,NA
"A001",303,63.85,41.47,86.3,13.079,-4.314,NA
"A001",304,64.95,41.11,86.74,13.341,-4.661,NA
"A001",305,65.85,40.84,86.16,14.673,-5.871,NA
"A001",306,65.63,41.06,84.67,15.476,-7.153,NA
"A001",307,65.98,40.53,85.38,15.363,-6.839,NA
"A001",308,66.66,40.39,85.2,15.922,-7.476,NA
"A001",309,67.21,40.05,84.75,15.799,-8.368,NA
"A001",310,67.74,39.44,85.91,14.619,-7.744,NA
"A001",311,68.03,39.65,85.46,15.228,-8.296,NA
"A001",312,68.39,40.01,87.19,15.177,-6.643,NA
"A001",313,67.66,40.13,86.34,14.701,-7.029,NA
"A001",314,69.16,40.38,86.7,15.041,-7.462,NA
"A001",315,69.14,40.35,86.78,15.338,-7.382,NA
"A001",316,69.55,40.28,86.12,16.383,-8.302,NA
"A001",317,68.82,39.37,86.62,13.945,-7.694,NA
"A001",318,68.77,40.24,86.18,15.559,-7.797,NA
"A001",319,69.42,41.16,85.66,15.417,-8.359,NA
"A001",320,69.65,41.64,85.24,15.775,-8.731,NA
"A002",1,52.6,85.52,56.27,13.598,-6.085,-6.085
"A002",2,53.41,85.45,57.04,13.127,-6.338,-6.338
"A002",3,54.51,84.54,59.99,12.985,-5.06,-5.06
"A002",4,53.66,84.49,58.9,12.468,-5.208,-5.208
"A002",5,54.08,83.56,59.39,13.189,-5.631,-5.631
"A002",6,53.94,83.78,59.16,12.896,-5.599,-5.599
"A002",7,54.39,84.04,60.49,12.652,-4.652,-4.652
"A002",8,55.59,83.66,62.38,12.022,-4.202,-4.202
"A002",9,56.29,83.67,63.05,13.023,-4.217,-4.217
"A002",10,56.15,83.2,64.52,12.392,-2.831,-2.831
"A002",11,57.14,82.83,65.58,11.906,-2.858,-2.858
"A002",12,56.29,82.91,65.13,11.087,-2.487,-2.487
"A002",13,56.53,83.65,64.24,11.925,-3.263,-3.263
"A002",14,56.24,83.81,64.44,10.935,-2.714,-2.714
"A002",15,56.41,83.1,64.87,11.474,-2.772,-2.772
"A002",16,55.77,82.78,64.31,11.538,-2.859,-2.859
"A002",17,56.96,82.22,66.53,11.327,-2.029,-2.029
"A002",18,55.64,82.48,65.24,10.155,-1.939,-1.939
"A002",19,55.81,82.37,65.96,11.068,-1.442,-1.442
"A002",20,55.12,82.39,65.3,10.774,-1.401,-1.401
"A002",21,55.01,81.31,65.09,11.424,-2.014,-2.014
"A002",22,55.88,81.27,64.98,11.64,-3.016,-3.016
"A002",23,55.77,81.16,65.03,11.008,-2.907,-2.907
"A002",24,55.99,81.16,64.78,11.669,-3.374,-3.374
"A002",25,54.92,81.65,63.64,11.128,-3.209,-3.209
"A002",26,53.65,81.31,62.59,11.804,-3.053,-3.053
"A002",27,53.32,81.72,61.31,11.513,-3.751,-3.751
"A002",28,54.04,81.41,62.08,13.008,-3.941,-3.941
"A002",29,53.03,80.44,60.94,12.995,-4.458,-4.458
"A002",30,53.51,79.85,63.04,12.12,-3.208,-3.208
"A002",31,54.26,80.15,64.24,10.8,-2.661,-2.661
"A002",32,53.94,80.61,63.44,11.269,-2.886,-2.886
"A002",33,53.52,79.56,64.28,11.268,-2.136,-2.136
"A002",34,54.96,78.87,66.47,10.918,-1.818,-1.818
"A002",35,55.22,78.58,66.6,10.395,-2.08,-2.08
"A002",36,55.16,79.39,65.79,10.936,-2.412,-2.412
"A002",37,54.82,79.39,64.84,11.558,-3.032,-3.032
"A002",38,54.88,78.33,65.65,11.152,-2.82,-2.82
"A002",39,54.98,78.06,65.65,11.38,-3.067,-3.067
"A002",40,55.51,77.49,66.54,12.081,-2.956,-2.956
"A002",41,55.76,77.94,67.17,11.397,-2.344,-2.344
"A002",42,55.68,78.36,67.44,11.337,-1.786,-1.786
"A002",43,55.63,77.73,67.65,10.9,-1.845,-1.845
"A002",44,55.41,78.31,66.99,10.613,-2.01,-2.01
"A002",45,55.45,79.78,67.03,10.789,-1.265,-1.265
"A002",46,55.08,80.13,65.88,10.827,-1.879,-1.879
"A002",47,55.25,78.19,65.68,11.889,-3.222,-3.222
"A002",48,55.7,78.13,65.77,12.143,-3.593,-3.593
"A002",49,56.36,77.37,65.85,12.72,-4.496,-4.496
"A002",50,56.55,77.65,65.7,12.902,-4.674,-4.674
"A002",51,57.43,77.93,66.51,13.305,-4.48,-4.48
"A002",52,56.89,76.99,67.33,12.378,-3.654,-3.654
"A002",53,56.59,76.82,67.29,12.737,-3.523,-3.523
"A002",54,57.16,76.02,68.39,11.85,-3.292,-3.292
"A002",55,57.12,76.51,68.77,10.746,-2.641,-2.641
"A002",56,57.12,75.98,68.52,11.807,-3.153,-3.153
"A002",57,57.95,75.9,69.84,11.416,-2.54,-2.54
"A002",58,58.12,76.17,69.78,11.684,-2.596,-2.596
"A002",59,58.22,75.82,70.25,11.335,-2.37,-2.37
"A002",60,58.35,76.16,70.07,11.691,-2.493,-2.493
"A002",61,57.7,75.62,69.29,11.451,-3.028,-3.028
"A002",62,58.3,75.44,70.31,10.999,-2.554,-2.554
"A002",63,58.6,74.76,70.55,11.689,-2.864,-2.864
"A002",64,57.28,74.18,69.95,11.489,-2.711,-2.711
"A002",65,56.76,73.78,69.62,12.171,-2.814,-2.814
"A002",66,56.81,73.53,69.18,11.837,-3.409,-3.409
"A002",67,56.89,73.8,67.73,12.699,-4.799,-4.799
"A002",68,57.67,74.33,67.94,12.742,-4.953,-4.953
"A002",69,57.53,73.36,68.55,12.495,-4.694,-4.694
"A002",70,58.03,74.44,68.37,12.96,-4.759,-4.759
"A002",71,58.42,74.27,68.35,13.265,-5.146,-5.146
"A002",72,57.98,73.1,67.8,13.612,-5.918,-5.918
"A002",73,57.63,72.34,68.14,13.189,-5.663,-5.663
"A002",74,58.06,71.81,68.97,13.126,-5.406,-5.406
"A002",75,58.63,71.45,70.53,12.953,-4.431,-4.431
"A002",76,58.85,72,70.61,12.931,-4.263,-4.263
"A002",77,59.04,71.17,72.07,12.188,-3.308,-3.308
"A002",78,58.76,72.11,71.44,11.254,-3.315,-3.315
"A002",79,58.16,73.95,69.84,12.083,-3.616,-3.616
"A002",80,58.65,73.51,70.62,12.218,-3.417,-3.417
"A002",81,57.98,72.5,70.53,12.134,-3.464,-3.464
"A002",82,58.19,71.27,71.2,12.169,-3.524,-3.524
"A002",83,57.91,70.65,70.47,12.355,-4.328,-4.328
"A002",84,57.73,69.62,70.67,12.603,-4.458,-4.458
"A002",85,57.96,69.08,70.24,13.286,-5.297,-5.297
"A002",86,59.13,68.91,71.07,13.388,-5.39,-5.39
"A002",87,58.99,69.16,71.6,12.719,-4.653,-4.653
"A002",88,58.26,69.09,69.01,13.479,-6.745,-6.745
"A002",89,57.93,69.46,68.5,14.265,-6.857,-6.857
"A002",90,57.84,68.6,68.94,13.376,-6.727,-6.727
"A002",91,57.9,68.67,68.55,13.668,-7.139,-7.139
"A002",92,58.16,68.39,68.4,14.108,-7.604,-7.604
"A002",93,58.46,68.14,70.21,13.651,-6.115,-6.115
"A002",94,58.97,68.65,71.04,13.311,-5.426,-5.426
"A002",95,58.24,67.77,70.42,13.553,-5.909,NA
"A002",96,58.63,67.6,71.14,12.643,-5.55,NA
"A002",97,58.82,67.38,71.25,13.275,-5.663,NA
"A002",98,58.95,67.51,70.89,12.934,-6.065,NA
"A002",99,59.57,67.05,72.08,13.9,-5.502,NA
"A002",100,59.36,67.69,72.27,13.949,-4.882,NA
"A002",101,60.47,67.39,72.65,13.14,-5.375,NA
"A002",102,59.34,65.79,74.1,12.751,-3.869,NA
"A002",103,59.54,65.7,73.66,12.758,-4.489,NA
"A002",104,59.29,65.95,73.98,12.108,-3.883,NA
"A002",105,59.39,66.23,73.96,12.692,-3.851,NA
"A002",106,59.07,65.63,73.78,12.091,-4.072,NA
"A002",107,60.26,65.78,74.5,12.201,-4.091,NA
"A002",108,60.53,66.39,75.31,12.166,-3.193,NA
"A002",109,59.92,66.73,75.48,10.856,-2.47,NA
"A002",110,59.63,66.82,75.15,11.487,-2.567,NA
"A002",111,59.62,66.49,75.76,11.142,-2.097,NA
"A002",112,59.93,67.76,75.23,10.816,-2.282,NA
"A002",113,59.95,67.64,75.74,11.521,-1.836,NA
"A002",114,60.22,66.13,76.32,10.589,-2.082,NA
"A002",115,59.59,66.42,76.6,10.826,-1.266,NA
"A002",116,60.37,65.61,76.16,11.365,-2.575,NA
"A002",117,59.94,64.86,76.91,11.329,-1.863,NA
"A002",118,60.35,63.44,77.74,10.78,-1.906,NA
"A002",119,59.21,62.45,77.89,11.345,-1.42,NA
"A002",120,58.95,61.76,78.89,10.337,-0.532,NA
"A002",121,59.28,61.28,79.68,10.018,-0.175,NA
"A002",122,60.36,60.09,81.82,9.476,0.763,NA
"A002",123,61.14,59.37,82.61,9.625,0.738,NA
"A002",124,60.34,58.94,80.69,10.557,-0.842,NA
"A002",125,60.27,58.91,80.06,10.754,-1.436,NA
"A002",126,59.97,58.83,80.34,11.691,-1.002,NA
"A002",127,59.81,58.87,79.64,10.569,-1.575,NA
"A002",128,60.08,57.98,80.25,11.103,-1.521,NA
"A002",129,60.25,57.03,80.24,11.659,-2.031,NA
"A002",130,60.86,57.03,80.77,11.629,-1.896,NA
"A002",131,61.56,57.09,81.02,11.774,-2.06,NA
