"animal_id","ref_layer","ref_temp"
"A002",1,9.241
"A002",1.5,8.941
"A002",2,8.843
"A002",2.5,9.187
"A002",3,8.4
"A002",3.5,7.854
"A002",4,8.175
"A002",4.5,7.321
"A002",5,7.418
"A002",5.5,7.699
"A002",6,7.147
"A002",6.5,6.393
"A002",7,7.138
"A002",7.5,6.27
"A002",8,6.429
"A002",8.5,6.397
"A002",9,5.79
"A002",9.5,5.805
"A002",10,5.831
"A002",10.5,5.626
"A002",11,5.691
"A002",11.5,5.502
"A002",12,5.019
"A002",12.5,4.96
"A002",13,5.06
"A002",13.5,5.162
"A002",14,5.417
"A002",14.5,5.353
"A002",15,4.873
"A002",15.5,4.328
"A002",16,4.958
"A002",16.5,4.966
"A002",17,4.536
"A002",17.5,4.655
"A002",18,4.334
"A002",18.5,4.477
"A002",19,4.533
"A002",19.5,4.625
"A002",20,4.511
"A003",-40,20.789
"A003",-39.5,20.465
"A003",-39,20.378
"A003",-38.5,20.831
"A003",-38,20.778
"A003",-37.5,20.275
"A003",-37,20.298
"A003",-36.5,20.144
"A003",-36,20.321
"A003",-35.5,20.289
"A003",-35,20.443
"A003",-34.5,20.661
"A003",-34,20.377
"A003",-33.5,20.466
"A003",-33,20.061
"A003",-32.5,20.052
"A003",-32,20.229
"A003",-31.5,20.574
"A003",-31,20.503
"A003",-30.5,20.93
"A003",-30,20.466
"A003",-29.5,20.461
"A003",-29,20.092
"A003",-28.5,20.237
"A003",-28,20.434
"A003",-27.5,20.354
"A003",-27,20.554
"A003",-26.5,20.273
"A003",-26,20.489
"A003",-25.5,20.61
"A003",-25,20.523
"A003",-24.5,20.443
"A003",-24,20.353
"A003",-23.5,20.198
"A003",-23,19.722
"A003",-22.5,20.562
"A003",-22,20.826
"A003",-21.5,20.331
"A003",-21,20.743
"A003",-20.5,20.042
"A003",-20,20.076
"A003",-19.5,20.483
"A003",-19,20.579
"A003",-18.5,20.646
"A003",-18,20.46
"A003",-17.5,21.315
"A003",-17,20.476
"A003",-16.5,20.541
"A003",-16,20.949
"A003",-15.5,20.851
"A003",-15,20.179
"A003",-14.5,20.923
"A003",-14,20.754
"A003",-13.5,20.786
"A003",-13,20.775
"A003",-12.5,20.68
"A003",-12,20.537
"A003",-11.5,20.263
"A003",-11,20.413
"A003",-10.5,20.757
"A003",-10,19.871
"A003",-9.5,19.92
"A003",-9,19.59
"A003",-8.5,19.603
"A003",-8,19.133
"A003",-7.5,18.707
"A003",-7,18.435
"A003",-6.5,18.45
"A003",-6,17.981
"A003",-5.5,17.935
"A003",-5,17.047
"A003",-4.5,17.361
"A003",-4,17.195
"A003",-3.5,16.602
"A003",-3,16.326
"A003",-2.5,16.512
"A003",-2,16.014
"A003",-1.5,15.064
"A003",-1,15.25
"A003",-0.5,14.875
"A003",0,14.531
"A003",0.5,14.455
"A003",1,13.816
"A003",1.5,13.719
"A003",2,13.469
"A003",2.5,13.394
"A003",3,13.071
"A003",3.5,13.08
"A003",4,12.919
"A003",4.5,12.605
"A003",5,12.622
"A003",5.5,12.327
"A003",6,11.909
"A003",6.5,11.4
"A003",7,11.176
"A003",7.5,11.364
"A003",8,11.081
"A003",8.5,11.002
"A003",9,10.8
"A003",9.5,10.849
"A003",10,10.389
"A003",10.5,10.756
"A003",11,10.207
"A003",11.5,10.337
"A003",12,9.778
"A003",12.5,9.884
"A003",13,9.554
"A003",13.5,9.206
"A003",14,9.203
"A003",14.5,9.954
"A003",15,9.115
"A003",15.5,8.814
"A003",16,9.156
"A003",16.5,8.981
"A003",17,9.281
"A003",17.5,9.028
"A003",18,9.064
"A003",18.5,8.905
"A003",19,8.944
"A003",19.5,9.048
"A003",20,9.093
"A004",-40,18.184
"A004",-39.5,17.774
"A004",-39,17.777
"A004",-38.5,17.644
"A004",-38,17.627
"A004",-37.5,18.146
"A004",-37,17.274
"A004",-36.5,17.969
"A004",-36,17.715
"A004",-35.5,18.181
"A004",-35,17.611
"A004",-34.5,18.126
"A004",-34,17.712
"A004",-33.5,17.604
"A004",-33,17.743
"A004",-32.5,17.437
"A004",-32,17.553
"A004",-31.5,17.835
"A004",-31,17.395
"A004",-30.5,17.502
"A004",-30,18.033
"A004",-29.5,17.524
"A004",-29,17.566
"A004",-28.5,17.73
"A004",-28,17.595
"A004",-27.5,17.404
"A004",-27,18.043
"A004",-26.5,17.864
"A004",-26,17.889
"A004",-25.5,17.727
"A004",-25,17.9
"A004",-24.5,17.692
"A004",-24,17.464
"A004",-23.5,17.299
"A004",-23,17.729
"A004",-22.5,17.588
"A004",-22,17.154
"A004",-21.5,17.392
"A004",-21,17.873
"A004",-20.5,17.667
"A004",-20,17.665
"A004",-19.5,17.756
"A004",-19,17.753
"A004",-18.5,18.374
"A004",-18,17.869
"A004",-17.5,17.807
"A004",-17,17.615
"A004",-16.5,17.75
"A004",-16,17.791
"A004",-15.5,17.89
"A004",-15,18.217
"A004",-14.5,18.059
"A004",-14,18.37
"A004",-13.5,18.197
"A004",-13,17.898
"A004",-12.5,18.221
"A004",-12,17.55
"A004",-11.5,17.63
"A004",-11,17.723
"A004",-10.5,17.363
"A004",-10,17.562
"A004",-9.5,17.363
"A004",-9,17.431
"A004",-8.5,16.727
"A004",-8,16.241
"A004",-7.5,15.991
"A004",-7,15.852
"A004",-6.5,16.03
"A004",-6,15.317
"A004",-5.5,15.281
"A004",-5,14.994
"A004",-4.5,14.186
"A004",-4,13.787
"A004",-3.5,13.9
"A004",-3,13.717
"A004",-2.5,13.126
"A004",-2,13.265
"A004",-1.5,12.936
"A004",-1,12.229
"A004",-0.5,11.821
"A004",0,11.873
"A004",0.5,11.824
"A004",1,11.588
"A004",1.5,10.802
"A004",2,10.444
"A004",2.5,10.074
"A004",3,10.619
"A004",3.5,10.253
"A004",4,9.561
"A004",4.5,9.691
"A004",5,8.962
"A004",5.5,9.562
"A004",6,8.902
"A004",6.5,8.882
"A004",7,8.529
"A004",7.5,8.69
"A004",8,8.229
"A004",8.5,7.85
"A004",9,8.58
"A004",9.5,7.808
"A004",10,7.966
"A004",10.5,7.812
"A004",11,7.694
"A004",11.5,7.92
"A004",12,7.367
"A004",12.5,7.01
"A004",13,6.973
"A004",13.5,7.187
"A004",14,7.174
"A004",14.5,6.665
"A004",15,6.879
"A004",15.5,6.636
"A004",16,7.009
"A004",16.5,6.549
"A004",17,6.462
"A004",17.5,6.955
"A004",18,6.237
"A004",18.5,6.626
"A004",19,6.108
"A004",19.5,6.083
"A004",20,6.151
"A005",-40,18.964
"A005",-39.5,19.18
"A005",-39,19.151
"A005",-38.5,19.626
"A005",-38,18.592
"A005",-37.5,18.806
"A005",-37,19.18
"A005",-36.5,19.555
"A005",-36,19.462
"A005",-35.5,19.561
"A005",-35,19.186
"A005",-34.5,19.486
"A005",-34,19.462
"A005",-33.5,19.342
"A005",-33,19.053
"A005",-32.5,18.997
"A005",-32,19.65
"A005",-31.5,18.863
"A005",-31,19.399
"A005",-30.5,19.359
"A005",-30,19.015
"A005",-29.5,19.441
"A005",-29,19.165
"A005",-28.5,19.052
"A005",-28,19.145
"A005",-27.5,19.243
"A005",-27,19.312
"A005",-26.5,19.146
"A005",-26,18.935
"A005",-25.5,18.933
"A005",-25,18.951
"A005",-24.5,19.081
"A005",-24,18.901
"A005",-23.5,19.126
"A005",-23,19.054
"A005",-22.5,19.128
"A005",-22,18.743
"A005",-21.5,19.324
"A005",-21,19.137
"A005",-20.5,18.84
"A005",-20,19.207
"A005",-19.5,19.181
"A005",-19,19.329
"A005",-18.5,19.083
"A005",-18,19.329
"A005",-17.5,19.33
"A005",-17,18.882
"A005",-16.5,19.626
"A005",-16,19.357
"A005",-15.5,19.467
"A005",-15,19.092
"A005",-14.5,19.635
"A005",-14,19.297
"A005",-13.5,19.789
"A005",-13,19.583
"A005",-12.5,19.67
"A005",-12,18.963
"A005",-11.5,19.304
"A005",-11,19.194
"A005",-10.5,19.607
"A005",-10,18.208
"A005",-9.5,17.855
"A005",-9,18.527
"A005",-8.5,17.817
"A005",-8,17.231
"A005",-7.5,17.19
"A005",-7,17.284
"A005",-6.5,17.171
"A005",-6,16.981
"A005",-5.5,16.135
"A005",-5,16.782
"A005",-4.5,15.845
"A005",-4,15.311
"A005",-3.5,15.04
"A005",-3,15.131
"A005",-2.5,14.979
"A005",-2,13.851
"A005",-1.5,14.061
"A005",-1,13.998
"A005",-0.5,13.412
"A005",0,13.273
"A005",0.5,12.894
"A005",1,12.932
"A005",1.5,12.018
"A005",2,12.231
"A005",2.5,12.2
"A005",3,11.669
"A005",3.5,11.327
"A005",4,11.383
"A005",4.5,11.368
"A005",5,10.451
"A005",5.5,10.371
"A005",6,10.536
"A005",6.5,10.509
"A005",7,10.025
"A005",7.5,10.323
"A005",8,10.011
"A005",8.5,9.391
"A005",9,9.425
"A005",9.5,9.042
"A005",10,9.309
"A005",10.5,9.227
"A005",11,9.242
"A005",11.5,8.864
"A005",12,8.688
"A005",12.5,8.855
"A005",13,8.569
"A005",13.5,8.367
"A005",14,7.755
"A005",14.5,8.649
"A005",15,7.841
"A005",15.5,7.981
"A005",16,7.878
"A005",16.5,7.403
"A005",17,7.971
"A005",17.5,8.54
"A005",18,7.987
"A005",18.5,7.658
"A005",19,7.863
"A005",19.5,7.334
"A005",20,7.772
"A006",-40,17.351
"A006",-39.5,17.61
"A006",-39,17.577
"A006",-38.5,17.335
"A006",-38,16.65
"A006",-37.5,18.019
"A006",-37,17.882
"A006",-36.5,17.155
"A006",-36,17.362
"A006",-35.5,17.263
"A006",-35,17.913
"A006",-34.5,16.829
"A006",-34,16.962
"A006",-33.5,17.47
"A006",-33,17.237
"A006",-32.5,17.374
"A006",-32,17.49
"A006",-31.5,17.283
"A006",-31,17.569
"A006",-30.5,17.256
"A006",-30,17.088
"A006",-29.5,17.543
"A006",-29,16.817
"A006",-28.5,17.236
"A006",-28,16.56
"A006",-27.5,17.106
"A006",-27,16.999
"A006",-26.5,17.419
"A006",-26,17.383
"A006",-25.5,16.987
"A006",-25,17.322
"A006",-24.5,16.636
"A006",-24,17.204
"A006",-23.5,16.921
"A006",-23,17.136
"A006",-22.5,17.117
"A006",-22,17.622
"A006",-21.5,17.057
"A006",-21,17.017
"A006",-20.5,17.329
"A006",-20,17.416
"A006",-19.5,17.009
"A006",-19,17.769
"A006",-18.5,17.094
"A006",-18,17.521
"A006",-17.5,17.859
"A006",-17,17.425
"A006",-16.5,17.944
"A006",-16,17.769
"A006",-15.5,17.283
"A006",-15,17.556
"A006",-14.5,17.746
"A006",-14,17.692
"A006",-13.5,17.63
"A006",-13,17.777
"A006",-12.5,17.392
"A006",-12,17.347
"A006",-11.5,17.38
"A006",-11,16.744
"A006",-10.5,17.173
"A006",-10,16.35
"A006",-9.5,17
"A006",-9,16.415
"A006",-8.5,15.966
"A006",-8,16.203
"A006",-7.5,15.376
"A006",-7,15.632
"A006",-6.5,15.14
"A006",-6,15.259
"A006",-5.5,14.437
"A006",-5,14.433
"A006",-4.5,13.75
"A006",-4,13.442
"A006",-3.5,13.754
"A006",-3,13.113
"A006",-2.5,12.643
"A006",-2,12.736
"A006",-1.5,12.27
"A006",-1,11.926
"A006",-0.5,11.463
"A006",0,11.707
"A006",0.5,11.207
"A006",1,10.858
"A006",1.5,10.246
"A006",2,10.536
"A006",2.5,10.59
"A006",3,9.904
"A006",3.5,9.832
"A006",4,9.323
"A006",4.5,9.117
"A006",5,8.968
"A006",5.5,8.903
"A006",6,8.97
"A006",6.5,8.548
"A006",7,8.218
"A006",7.5,7.965
"A006",8,8.081
"A006",8.5,7.793
"A006",9,7.317
"A006",9.5,7.568
"A006",10,6.981
"A006",10.5,6.74
"A006",11,7.04
"A006",11.5,7.747
"A006",12,6.989
"A006",12.5,6.377
"A006",13,6.308
"A006",13.5,6.641
"A006",14,6.172
"A006",14.5,6.456
"A006",15,6.331
"A006",15.5,6.088
"A006",16,5.787
"A006",16.5,6.436
"A006",17,5.597
"A006",17.5,5.837
"A006",18,5.545
"A006",18.5,5.866
"A006",19,5.655
"A006",19.5,5.874
"A006",20,5.755
"A007",-40,15.861
"A007",-39.5,15.893
"A007",-39,15.935
"A007",-38.5,16.228
"A007",-38,15.935
"A007",-37.5,16.012
"A007",-37,16.104
"A007",-36.5,16.078
"A007",-36,15.942
"A007",-35.5,15.978
"A007",-35,15.848
"A007",-34.5,15.781
"A007",-34,16.01
"A007",-33.5,16.276
"A007",-33,16.024
"A007",-32.5,15.753
"A007",-32,16.528
"A007",-31.5,15.925
"A007",-31,15.743
"A007",-30.5,16.249
"A007",-30,16.074
"A007",-29.5,15.759
"A007",-29,16.236
"A007",-28.5,15.998
"A007",-28,16.246
"A007",-27.5,16.124
"A007",-27,16.093
"A007",-26.5,16.411
"A007",-26,16.148
"A007",-25.5,15.892
"A007",-25,15.42
"A007",-24.5,16.506
"A007",-24,16.617
"A007",-23.5,15.581
"A007",-23,16.314
"A007",-22.5,16.249
"A007",-22,16.16
"A007",-21.5,16.271
"A007",-21,15.659
"A007",-20.5,16.264
"A007",-20,16.14
"A007",-19.5,16.322
"A007",-19,15.999
"A007",-18.5,16.01
"A007",-18,16.59
"A007",-17.5,16.237
"A007",-17,16.653
"A007",-16.5,16.011
"A007",-16,16.026
"A007",-15.5,16.336
"A007",-15,16.588
"A007",-14.5,16.368
"A007",-14,16.278
"A007",-13.5,16.575
"A007",-13,16.71
"A007",-12.5,16.477
"A007",-12,16.392
"A007",-11.5,16.019
"A007",-11,16.03
"A007",-10.5,15.805
"A007",-10,15.564
"A007",-9.5,15.3
"A007",-9,15.606
"A007",-8.5,14.755
"A007",-8,14.754
"A007",-7.5,14.595
"A007",-7,14.075
"A007",-6.5,14.359
"A007",-6,13.836
"A007",-5.5,13.119
"A007",-5,13.34
"A007",-4.5,12.899
"A007",-4,12.264
"A007",-3.5,11.996
"A007",-3,11.845
"A007",-2.5,11.915
"A007",-2,11.013
"A007",-1.5,11.592
"A007",-1,10.665
"A007",-0.5,10.224
"A007",0,10.126
"A007",0.5,9.946
"A007",1,9.947
"A007",1.5,9.557
"A007",2,8.601
"A007",2.5,8.903
"A007",3,8.626
"A007",3.5,8.388
"A007",4,8.004
"A007",4.5,7.708
"A007",5,7.662
"A007",5.5,7.461
"A007",6,7.574
"A007",6.5,7.123
"A007",7,6.711
"A007",7.5,6.748
"A007",8,6.689
"A007",8.5,6.849
"A007",9,6.648
"A007",9.5,6.386
"A007",10,6.124
"A007",10.5,5.864
"A007",11,6.121
"A007",11.5,5.957
"A007",12,5.348
"A007",12.5,5.541
"A007",13,5.239
"A007",13.5,4.977
"A007",14,4.907
"A007",14.5,4.757
"A007",15,5.39
"A007",15.5,4.667
"A007",16,4.905
"A007",16.5,5.213
"A007",17,4.765
"A007",17.5,4.554
"A007",18,4.959
"A007",18.5,4.691
"A007",19,4.145
"A007",19.5,4.635
"A007",20,3.912
"A008",-40,18.174
"A008",-39.5,18.202
"A008",-39,18.022
"A008",-38.5,18.48
"A008",-38,18.059
"A008",-37.5,18.219
"A008",-37,18.572
"A008",-36.5,18.366
"A008",-36,18.146
"A008",-35.5,18.172
"A008",-35,18.333
"A008",-34.5,18.368
"A008",-34,18.369
"A008",-33.5,18.477
"A008",-33,17.987
"A008",-32.5,18.503
"A008",-32,18.413
"A008",-31.5,18.627
"A008",-31,18.743
"A008",-30.5,18.238
"A008",-30,18.033
"A008",-29.5,18.428
"A008",-29,18.054
"A008",-28.5,18.231
"A008",-28,18.094
"A008",-27.5,18.253
"A008",-27,18.287
"A008",-26.5,18.42
"A008",-26,18.343
"A008",-25.5,18.038
"A008",-25,18.048
"A008",-24.5,18.365
"A008",-24,17.978
"A008",-23.5,18.087
"A008",-23,18.154
"A008",-22.5,18.13
"A008",-22,18.387
"A008",-21.5,18.087
"A008",-21,18.457
"A008",-20.5,18.123
"A008",-20,18.259
"A008",-19.5,18.478
"A008",-19,18.745
"A008",-18.5,18.447
"A008",-18,18.775
"A008",-17.5,18.52
"A008",-17,18.81
"A008",-16.5,18.562
"A008",-16,18.416
"A008",-15.5,18.873
"A008",-15,18.72
"A008",-14.5,18.442
"A008",-14,18.978
"A008",-13.5,18.652
"A008",-13,18.233
"A008",-12.5,18.166
"A008",-12,18.381
"A008",-11.5,18.04
"A008",-11,18.334
"A008",-10.5,17.964
"A008",-10,18.217
"A008",-9.5,17.055
"A008",-9,17.614
"A008",-8.5,17.115
"A008",-8,16.852
"A008",-7.5,16.703
"A008",-7,16.32
"A008",-6.5,16.33
"A008",-6,15.751
"A008",-5.5,15.644
"A008",-5,15.248
"A008",-4.5,14.894
"A008",-4,14.715
"A008",-3.5,14.417
"A008",-3,14.343
"A008",-2.5,13.902
"A008",-2,13.311
"A008",-1.5,12.818
"A008",-1,13.18
"A008",-0.5,12.649
"A008",0,12.28
"A008",0.5,12.2
"A008",1,11.994
"A008",1.5,11.533
"A008",2,11.453
"A008",2.5,10.771
"A008",3,10.534
"A008",3.5,10.834
"A008",4,10.757
"A008",4.5,10.128
"A008",5,10.098
"A008",5.5,9.726
"A008",6,9.412
"A008",6.5,9.404
"A008",7,9.047
"A008",7.5,8.843
"A008",8,8.758
"A008",8.5,8.756
"A008",9,8.398
"A008",9.5,8.224
"A008",10,8.071
"A008",10.5,8.263
"A008",11,8.157
"A008",11.5,7.948
"A008",12,8.064
"A008",12.5,7.612
"A008",13,7.299
"A008",13.5,7.611
"A008",14,7.274
"A008",14.5,7.348
"A008",15,7.228
"A008",15.5,7.256
"A008",16,7.357
"A008",16.5,7.107
"A008",17,7.175
"A008",17.5,6.555
"A008",18,7.115
"A008",18.5,7.225
"A008",19,6.847
"A008",19.5,7.135
"A008",20,7.114
"A009",-40,17.848
"A009",-39.5,17.751
"A009",-39,18.098
"A009",-38.5,18.11
"A009",-38,17.529
"A009",-37.5,17.922
"A009",-37,17.887
"A009",-36.5,18.075
"A009",-36,17.948
"A009",-35.5,17.788
"A009",-35,17.409
"A009",-34.5,17.93
"A009",-34,17.714
"A009",-33.5,17.839
"A009",-33,17.534
"A009",-32.5,17.8
"A009",-32,17.703
"A009",-31.5,17.628
"A009",-31,17.88
"A009",-30.5,17.564
"A009",-30,17.806
"A009",-29.5,17.86
"A009",-29,17.357
"A009",-28.5,17.374
"A009",-28,18.128
"A009",-27.5,17.93
"A009",-27,17.945
"A009",-26.5,17.402
"A009",-26,17.538
"A009",-25.5,17.87
"A009",-25,17.321
"A009",-24.5,17.578
"A009",-24,17.751
"A009",-23.5,17.674
"A009",-23,17.598
"A009",-22.5,17.641
"A009",-22,17.165
"A009",-21.5,17.27
"A009",-21,17.367
"A009",-20.5,17.95
"A009",-20,17.587
"A009",-19.5,17.794
"A009",-19,17.858
"A009",-18.5,17.764
"A009",-18,18.092
"A009",-17.5,18.036
"A009",-17,18.078
"A009",-16.5,18.135
"A009",-16,18.243
"A009",-15.5,18.246
"A009",-15,18.229
"A009",-14.5,18.119
"A009",-14,17.733
"A009",-13.5,18.349
"A009",-13,17.816
"A009",-12.5,17.703
"A009",-12,17.4
"A009",-11.5,17.915
"A009",-11,17.479
"A009",-10.5,17.091
"A009",-10,17.36
"A009",-9.5,17.078
"A009",-9,16.665
"A009",-8.5,16.021
"A009",-8,16.359
"A009",-7.5,16.638
"A009",-7,15.804
"A009",-6.5,14.869
"A009",-6,15.034
"A009",-5.5,14.825
"A009",-5,14.442
"A009",-4.5,14.186
"A009",-4,14.184
"A009",-3.5,14.01
"A009",-3,13.412
"A009",-2.5,13.506
"A009",-2,12.439
"A009",-1.5,12.488
"A009",-1,12.298
"A009",-0.5,12.004
"A009",0,11.611
"A009",0.5,11.382
"A009",1,10.847
"A009",1.5,11.071
"A009",2,10.426
"A009",2.5,10.713
"A009",3,10.357
"A009",3.5,10.107
"A009",4,9.624
"A009",4.5,10.341
"A009",5,9.026
"A009",5.5,9.269
"A009",6,8.948
"A009",6.5,8.676
"A009",7,8.624
"A009",7.5,8.232
"A009",8,8.018
"A009",8.5,8.092
"A009",9,7.919
"A009",9.5,7.761
"A009",10,7.429
"A009",10.5,6.943
"A009",11,7.263
"A009",11.5,7.087
"A009",12,7.57
"A009",12.5,7.39
"A009",13,7.379
"A009",13.5,6.466
"A009",14,6.93
"A009",14.5,6.321
"A009",15,6.727
"A009",15.5,6.908
"A009",16,6.268
"A009",16.5,5.876
"A009",17,6.328
"A009",17.5,6.224
"A009",18,6.155
"A009",18.5,6.552
"A009",19,6.236
"A009",19.5,6.52
"A009",20,5.699
"A010",-40,18.43
"A010",-39.5,18.612
"A010",-39,19.069
"A010",-38.5,18.795
"A010",-38,18.707
"A010",-37.5,18.384
"A010",-37,18.497
"A010",-36.5,18.528
"A010",-36,18.605
"A010",-35.5,18.67
"A010",-35,18.703
"A010",-34.5,18.699
"A010",-34,18.801
"A010",-33.5,18.928
"A010",-33,19.27
"A010",-32.5,18.844
"A010",-32,18.661
"A010",-31.5,18.261
"A010",-31,18.832
"A010",-30.5,19.095
"A010",-30,18.91
"A010",-29.5,18.762
"A010",-29,18.965
"A010",-28.5,18.719
"A010",-28,18.515
"A010",-27.5,18.325
"A010",-27,18.308
"A010",-26.5,18.459
"A010",-26,18.845
"A010",-25.5,18.517
"A010",-25,18.607
"A010",-24.5,18.443
"A010",-24,18.925
"A010",-23.5,18.273
"A010",-23,18.491
"A010",-22.5,18.608
"A010",-22,18.426
"A010",-21.5,18.399
"A010",-21,18.613
"A010",-20.5,18.768
"A010",-20,18.815
"A010",-19.5,18.845
"A010",-19,18.582
"A010",-18.5,18.828
"A010",-18,18.498
"A010",-17.5,19.041
"A010",-17,18.961
"A010",-16.5,19.23
"A010",-16,19.329
"A010",-15.5,19.262
"A010",-15,19.152
"A010",-14.5,18.835
"A010",-14,19.114
"A010",-13.5,19.416
"A010",-13,19.324
"A010",-12.5,19.123
"A010",-12,18.949
"A010",-11.5,19.01
"A010",-11,18.044
"A010",-10.5,18.533
"A010",-10,18.281
"A010",-9.5,18.039
"A010",-9,17.646
"A010",-8.5,17.943
"A010",-8,16.89
"A010",-7.5,17.186
"A010",-7,16.8
"A010",-6.5,16.619
"A010",-6,16.608
"A010",-5.5,15.863
"A010",-5,15.554
"A010",-4.5,15.483
"A010",-4,14.852
"A010",-3.5,14.579
"A010",-3,15.065
"A010",-2.5,14.251
"A010",-2,14.058
"A010",-1.5,13.402
"A010",-1,13.221
"A010",-0.5,12.878
"A010",0,12.63
"A010",0.5,12.367
"A010",1,12.238
"A010",1.5,11.76
"A010",2,11.921
"A010",2.5,11.488
"A010",3,11.387
"A010",3.5,11.222
"A010",4,11.182
"A010",4.5,10.596
"A010",5,10.531
"A010",5.5,10.278
"A010",6,9.954
"A010",6.5,9.912
"A010",7,9.584
"A010",7.5,9.236
"A010",8,9.246
"A010",8.5,9.236
"A010",9,8.816
"A010",9.5,9.073
"A010",10,8.985
"A010",10.5,8.428
"A010",11,8.358
"A010",11.5,8.206
"A010",12,8.249
"A010",12.5,8.186
"A010",13,7.789
"A010",13.5,7.979
